MANUTENÇÕES CORRETIVAS REALIZADAS INTERNAMENTE DURANTE O CONTRATO SL ENGENHARIA HOSPITALAR E HOSPITAL DAS CLÍNICAS;Unnamed: 1;Unnamed: 2;Unnamed: 3;Unnamed: 4;Unnamed: 5;Unnamed: 6;Unnamed: 7;Unnamed: 8;Unnamed: 9;Unnamed: 10;Unnamed: 11
201804031;SENSOR DE OXIMETRIA ADULTO;;ALFAMED SISTEMAS MÉDICOS LTDA;HCPE-1715;;;UTI GERAL / URCC;06/11/2018 14:28;06/11/2018 15:30;REPARO DE ACESSÓRIO;0,00
201804034;CAMA HOSPITALAR ELÉTRICA;ELEGANZA SMART;LINET;HCPE-0786;756.633;20120035772;PSIQUIATRIA(7°N);06/11/2018 15:07;07/12/2018 17:34;SUBSTITUIÇÃO DE PEÇA;180,30
201804035;SENSOR DE CAPNOGRAFIA/ESPIROMETRIA;CAPNOSTAT;GE;HCPE-1975;;;BLOCO CIRÚRGICO;06/11/2018 16:25;07/11/2018 12:00;REPARO DE ACESSÓRIO;0,00
201804037;UNITARIZADORA DE MEDICAMENTOS;OPUS 30X;OPUSPAC SYSTEM;HCPE-0924;409.826;MUE0017379;FARMÁCIA;07/11/2018 08:05;07/11/2018 08:50;ANÁLISE - REALIZAÇÃO;0,00
201804038;MONITOR DE DIAGNÓSTICO;MFCD-1219 TS;BARCO;HCPE-1469;414.864;9383603942;RAIO-X (UDI);07/11/2018 08:18;07/11/2018 09:40;VERIFICAÇÃO;0,00
201804039;ELETROCARDIÓGRAFO;EP12;DIXTAL;HCPE-0756;757.853;1229010644;CENTRAL DE EQUIPAMENTOS;07/11/2018 07:20;07/11/2018 08:00;AJUSTE/ REPARO - ESTRUTURA FÍSICA;0,00
201804042;ESFIGMOMANÔMETRO ANERÓIDE MANUAL;;PREMIUM;HCPE-1805;;;CENTRAL DE EQUIPAMENTOS;07/11/2018 09:13;07/11/2018 13:30;AJUSTE DE POSICIONAMENTO PARTE/ PEÇA;0,00
201804043;ESFIGMOMANÔMETRO ANERÓIDE MANUAL;;PREMIUM;HCPE-1805;;;CENTRAL DE EQUIPAMENTOS;07/11/2018 09:14;07/11/2018 14:20;AJUSTE DE POSICIONAMENTO PARTE/ PEÇA;0,00
201804044;ESFIGMOMANÔMETRO ANERÓIDE MANUAL;;PREMIUM;HCPE-1805;;;CENTRAL DE EQUIPAMENTOS;07/11/2018 09:15;07/11/2018 14:40;;0,00
201804045;BOMBA DE INFUSÃO VOLUMÉTRICA;ST 1000;SAMTRONIC;HCPE-1241;;43983M/00;CENTRO OBSTÉTRICO;07/11/2018 09:20;07/11/2018 11:50;ENVIO / ENCAMINHAR EQUIPAMENTO PARA ASSISTÊNCIA EXTERNA;0,00
201804046;SENSOR DE OXIMETRIA ADULTO;;OMNIMED;HCPE-1621;;;HEMODINÂMICA;07/11/2018 09:22;09/11/2018 11:30;REPARO DE ACESSÓRIO;0,00
201804050;BISTURI ELÉTRICO;BP-100;TRANSMAI-EMAI;HCPE-0154;405.744;031Q6989;AMB. DERMATOLOGIA;07/11/2018 11:40;07/11/2018 15:40;REPARO DE ACESSÓRIO;0,00
201804051;ESFIGMOMANÔMETRO ANERÓIDE DE PEDESTAL;ANEROIDE DE PEDESTAL;MISSOURI;HCPE-1062;406.053;141688;AMB. CLÍNICA MÉDICA;07/11/2018 15:47;08/11/2018 09:55;SUBSTITUIÇÃO DE ACESSÓRIO;18,90
201804052;TERMODESINFECTADORA;155;CISA;HCPE-0906;409.645;25176;UNIDADE DE PROCESSAMENTO DE MATERIAL ESTERILIZADO (CME);07/11/2018 17:05;07/11/2018 17:50;ANÁLISE DE REQUISIÇÃO;0,00
201804058;MICROSCÓPIO CIRÚRGICO;OPMI VARIO 700;CARL ZEISS;HCPE-0001;407.984;6636161591;BLOCO CIRÚRGICO;06/11/2018 08:00;08/11/2018 09:00;AJUSTE/ REPARO - CABO / CABO DE FORÇA;0,00
201804059;CAMA HOSPITALAR ELÉTRICA;ELEGANZA SMART;LINET;HCPE-1405;760.749;20120070612;BLOCO CIRÚRGICO;06/11/2018 10:00;06/11/2018 14:00;AJUSTE/ REPARO - CABO / CABO DE FORÇA;0,00
201804060;CAMA HOSPITALAR ELÉTRICA;ELEGANZA SMART;LINET;HCPE-0231;758.977;20120069201;11° SUL;06/11/2018 14:00;06/11/2018 14:20;ANÁLISE - NENHUM DEFEITO DETECTADO;0,00
201804063;CAMA HOSPITALAR ELÉTRICA;ELEGANZA SMART;LINET;HCPE-0326;756.882;20120068161;8° NORTE;08/11/2018 16:00;08/11/2018 16:40;SUBSTITUIÇÃO DE ACESSÓRIO;180,30
201804072;VITREÓFAGO;VITROUS;APRAMED;HCPE-2156;756.257;8924179;CIRURGIA AMBULATORIAL;09/11/2018 08:46;09/11/2018 10:00;SUBSTITUIÇÃO DE PEÇA;0,00
201804074;BOMBA DE INFUSÃO VOLUMÉTRICA;ST 1000;SAMTRONIC;HCPE-0262;;64248M/00;11° NORTE;09/11/2018 09:36;09/11/2018 11:10;TESTE DE FUNCIONAMENTO;0,00
201804075;BOMBA DE INFUSÃO VOLUMÉTRICA;ST 1000;SAMTRONIC;HCPE-2154;;64143M/00;CENTRAL DE EQUIPAMENTOS;09/11/2018 09:41;09/11/2018 11:30;TESTE DE FUNCIONAMENTO;0,00
201804076;BOMBA DE INFUSÃO VOLUMÉTRICA;ST 1000;SAMTRONIC;HCPE-0671;;64324M/00;URCC;09/11/2018 09:43;09/11/2018 10:30;TESTE DE FUNCIONAMENTO;0,00
201804077;BOMBA DE INFUSÃO VOLUMÉTRICA;ST 1000;SAMTRONIC;HCPE-0375;;64244M/00;8° NORTE;09/11/2018 09:46;09/11/2018 10:50;TESTE DE FUNCIONAMENTO;0,00
201804078;ESFIGMOMANÔMETRO ANERÓIDE DE PEDESTAL;ANEROIDE DE PEDESTAL;MISSOURI;HCPE-0282;406.084;141625;CENTRAL DE EQUIPAMENTOS;09/11/2018 09:46;09/11/2018 15:00;SUBSTITUIÇÃO DE ACESSÓRIO;18,90
201804079;ESFIGMOMANÔMETRO ANERÓIDE DE PEDESTAL;ANEROIDE DE PEDESTAL;MISSOURI;HCPE-2117;406.097;141722;CENTRAL DE EQUIPAMENTOS;09/11/2018 09:46;12/11/2018 11:10;AJUSTE DE POSICIONAMENTO PARTE/ PEÇA;0,00
201804080;ESFIGMOMANÔMETRO ANERÓIDE DE PEDESTAL;ANEROIDE DE PEDESTAL;MISSOURI;HCPE-0281;406.078;141750;CENTRAL DE EQUIPAMENTOS;09/11/2018 09:46;09/11/2018 16:15;SUBSTITUIÇÃO DE ACESSÓRIO;18,90
201804081;ESFIGMOMANÔMETRO ANERÓIDE DE PEDESTAL;ANEROIDE DE PEDESTAL;MISSOURI;HCPE-0717;406.079;141598;HEMODIÁLISE;09/11/2018 09:50;09/11/2018 13:11;AJUSTE DE POSICIONAMENTO PARTE/ PEÇA;0,00
201804082;CABO MONOPOLAR PARA BISTURI;;GENÉRICO;HCPE-2058;;;UNIDADE DE PROCESSAMENTO DE MATERIAL ESTERILIZADO (CME);09/11/2018 09:30;09/11/2018 15:00;REPARO DE ACESSÓRIO;0,00
201804084;SENSOR DE OXIMETRIA ADULTO;;ALFAMED SISTEMAS MÉDICOS LTDA;HCPE-1715;;;UTI GERAL / URCC;09/11/2018 10:10;12/11/2018 11:28;REPARO DE ACESSÓRIO;0,00
201804085;MONITOR MULTIPARAMÉTRICO;OMNI 612;OMNIMED;HCPE-2045;;2855;HEMODINÂMICA;09/11/2018 10:40;09/11/2018 14:10;TESTE DE FUNCIONAMENTO;60,00
201804086;DIGITALIZADORA DE IMAGENS;CR 85-X;AGFA;HCPE-1470;414.865;5736;RAIO-X (UDI);09/11/2018 12:10;09/11/2018 14:00;AJUSTE DE POSICIONAMENTO PARTE/ PEÇA;0,00
201804088;CABO DE FIBRA ÓPTICA;GENÉRICO;-;HCPE-2056;;;BLOCO CIRÚRGICO;09/11/2018 15:17;12/11/2018 15:53;AJUSTE/ REPARO - CABO / CABO DE FORÇA;0,00
201804089;CAMA HOSPITALAR ELÉTRICA;ELEGANZA SMART;LINET;HCPE-0836;757.521;20120035311;9° NORTE (MATERNIDADE);09/11/2018 17:51;12/11/2018 11:15;REPARO DE ACESSÓRIO;0,00
201804095;ELETROCARDIÓGRAFO;EP12;DIXTAL;HCPE-0088;414.216;122900643;SALA DE ESTABILIZAÇÃO;09/11/2018 15:00;09/11/2018 17:00;ANÁLISE - REALIZAÇÃO;0,00
201804096;CAMA HOSPITALAR ELÉTRICA;ELEGANZA SMART;LINET;HCPE-0849;757.705;201200358977;9° NORTE (MATERNIDADE);12/11/2018 10:00;12/11/2018 11:21;SUBSTITUIÇÃO DE ACESSÓRIO;0,00
201804097;BALANÇA ADULTO;MECÂNICA - R-110;WELMY;HCPE-2066;412.920;89947;AMB. REUMATOLOGIA;12/11/2018 09:27;12/11/2018 09:30;TESTE DE FUNCIONAMENTO;0,00
201804098;CARDIOTOCÓGRAFO;BT-350;BISTOS;HCPE-1822;407.281;AFF20035;CENTRO OBSTÉTRICO;12/11/2018 13:48;12/11/2018 15:30;ORIENTAÇÃO;0,00
201804099;CAMA HOSPITALAR ELÉTRICA;ELEGANZA SMART;LINET;HCPE-0754;757.254;20120035915;7° SUL;12/11/2018 13:52;12/11/2018 16:15;REPARO DE ACESSÓRIO;0,00
201804100;APARELHO DE ANESTESIA;DX 5020;DIXTAL;HCPE-0048;413.704;122800200;CIRURGIA AMBULATORIAL;12/11/2018 13:53;13/11/2018 19:00;TESTE DE FUNCIONAMENTO;0,00
201804101;UMIDIFICADOR;MISTY 3;INTERMED;HCPE-0691;;M3-0809-01788;11° SUL;12/11/2018 11:00;12/11/2018 16:30;REPARO DE ACESSÓRIO;0,00
201804108;BOMBA DE INFUSÃO VOLUMÉTRICA;ST 1000;SAMTRONIC;HCPE-0190;;64215M/00;11° SUL;13/11/2018 08:33;13/11/2018 08:45;TESTE DE FUNCIONAMENTO;0,00
201804115;UNITARIZADORA DE MEDICAMENTOS;OPUS 30X;OPUSPAC SYSTEM;HCPE-0924;409.826;MUE0017379;FARMÁCIA;13/11/2018 11:00;13/11/2018 15:00;AJUSTE/ REPARO - ESTRUTURA FÍSICA;0,00
201804117;BANHO MARIA;1100;FANEM;HCPE-1023;413.068;;HEMOTERAPIA;13/11/2018 11:52;13/11/2018 18:00;SUBSTITUIÇÃO DE PEÇA;0,00
201804122;LÂMINA PARA LARINGOSCÓPIO;;;HCPE-1788;;;CENTRO OBSTÉTRICO;14/11/2018 11:57;14/11/2018 12:00;SUBSTITUIÇÃO DE LÂMPADA;28,00
201804126;CABO PARA TENS;;-;HCPE-1929;;;AMB. FISIOTERAPIA;14/11/2018 14:53;16/11/2018 15:00;REPARO DE ACESSÓRIO;0,00
201804127;CABO PARA TENS;;-;HCPE-1929;;;AMB. FISIOTERAPIA;14/11/2018 14:53;16/11/2018 15:00;REPARO DE ACESSÓRIO;0,00
201804128;CABO PARA TENS;;-;HCPE-1929;;;AMB. FISIOTERAPIA;14/11/2018 14:54;16/11/2018 14:00;REPARO DE ACESSÓRIO;0,00
201804129;CABO PARA TENS;;-;HCPE-1929;;;AMB. FISIOTERAPIA;14/11/2018 14:54;16/11/2018 14:20;REPARO DE ACESSÓRIO;0,00
201804130;CABO PARA TENS;;-;HCPE-1929;;;AMB. FISIOTERAPIA;14/11/2018 14:54;16/11/2018 15:00;REPARO DE ACESSÓRIO;0,00
201804131;CABO PARA TENS;;-;HCPE-1929;;;AMB. FISIOTERAPIA;14/11/2018 14:55;16/11/2018 15:00;REPARO DE ACESSÓRIO;0,00
201804136;FOCO CIRÚRGICO FIXO;BLUELINE 30/80;MAQUET;HCPE-2159;407.234;01001435;CENTRO OBSTÉTRICO;16/11/2018 09:12;16/11/2018 11:30;SUBSTITUIÇÃO DE LÂMPADA;0,00
201804139;BERÇO AQUECIDO;BASSINET 2051;FANEM;HCPE-1220;407.492;TX7462;CENTRO OBSTÉTRICO;08/11/2018 17:00;08/11/2018 19:00;SUBSTITUIÇÃO DE PEÇA;0,00
201804142;SENSOR DE OXIMETRIA PEDIÁTRICO;GENÉRICO;ALFAMED SISTEMAS MÉDICOS LTDA;HCPE-1084;;;UTI NEONATAL;16/11/2018 14:28;16/11/2018 18:00;REPARO DE ACESSÓRIO;0,00
201804143;SENSOR DE OXIMETRIA PEDIÁTRICO;GENÉRICO;ALFAMED SISTEMAS MÉDICOS LTDA;HCPE-1084;;;UTI NEONATAL;16/11/2018 14:28;16/11/2018 17:00;REPARO DE ACESSÓRIO;0,00
201804144;SENSOR DE OXIMETRIA PEDIÁTRICO;GENÉRICO;ALFAMED SISTEMAS MÉDICOS LTDA;HCPE-1084;;;UTI NEONATAL;16/11/2018 14:28;16/11/2018 16:00;ANÁLISE - REALIZAÇÃO;0,00
201804145;SENSOR DE OXIMETRIA PEDIÁTRICO;GENÉRICO;ALFAMED SISTEMAS MÉDICOS LTDA;HCPE-1084;;;UTI NEONATAL;16/11/2018 14:29;22/11/2018 08:00;EMISSÃO DE PARECER DE INATIVAÇÃO;0,00
201804146;SENSOR DE OXIMETRIA PEDIÁTRICO;GENÉRICO;ALFAMED SISTEMAS MÉDICOS LTDA;HCPE-1084;;;UTI NEONATAL;16/11/2018 14:29;12/12/2018 08:00;EMISSÃO DE PARECER DE INATIVAÇÃO;0,00
201804147;CABO DE ECG PARA HOLTER;4 VIAS;CARDIOS;HCPE-1948;;;AMB. CARDIOLOGIA;16/11/2018 10:00;16/11/2018 12:00;REPARO DE ACESSÓRIO;0,00
201804148;CAIXA TÉRMICA;TERMÔMETRO ACOPLADO;AUTOM;HCPE-1794;;;GENÉRICO;16/11/2018 14:55;16/11/2018 15:00;SUBSTITUIÇÃO DE ACESSÓRIO;105,00
201804151;TRANSDUTOR LINEAR PARA ULTRASSOM;L12-3;PHILIPS;HCPE-1143;;038JR3;ULTRASSOM (UDI);16/11/2018 16:07;28/11/2018 14:05;AJUSTE/ REPARO - CABO / CABO DE FORÇA;0,00
201804153;REFRIGERADOR PARA SANGUE;BS 150D;INDREL;HCPE-1024;413.053;30697;HEMOTERAPIA;16/11/2018 13:00;16/11/2018 14:30;SUBSTITUIÇÃO DE ACESSÓRIO;3,90
201804155;FREEZER;;BRASTEMP;HCPE-1027;413.075;JD8427733;HEMOTERAPIA;16/11/2018 11:00;16/11/2018 12:00;SUBSTITUIÇÃO DE PEÇA;3,90
201804158;BOMBA DE INFUSÃO VOLUMÉTRICA;ST 1000;SAMTRONIC;HCPE-0033;;45305M/00;AMB. ONCOLOGIA;19/11/2018 09:05;19/11/2018 12:00;TESTE DE FUNCIONAMENTO;0,00
201804159;BOMBA DE INFUSÃO VOLUMÉTRICA;ST 1000;SAMTRONIC;HCPE-2160;;65009M/00;CENTRAL DE EQUIPAMENTOS;19/11/2018 09:07;19/11/2018 11:35;VERIFICAÇÃO;0,00
201804162;BOMBA DE INFUSÃO VOLUMÉTRICA;ST 1000;SAMTRONIC;HCPE-0865;;64367M/00;6° SUL;19/11/2018 09:12;19/11/2018 14:05;TESTE DE FUNCIONAMENTO;0,00
201804164;ESFIGMOMANÔMETRO ANERÓIDE DE PEDESTAL;ANEROIDE DE PEDESTAL;MISSOURI;HCPE-0951;406.020;141511;CENTRAL DE EQUIPAMENTOS;19/11/2018 09:18;19/11/2018 15:25;AJUSTE DE POSICIONAMENTO PARTE/ PEÇA;0,00
201804165;ESFIGMOMANÔMETRO ANERÓIDE DE PEDESTAL;ANEROIDE DE PEDESTAL;MISSOURI;HCPE-0686;406.090;141693;CENTRAL DE EQUIPAMENTOS;19/11/2018 09:16;19/11/2018 14:30;AJUSTE/ REPARO - VÁLVULA;0,00
201804168;ESFIGMOMANÔMETRO ANERÓIDE MANUAL;;PREMIUM;HCPE-1805;;;CENTRAL DE EQUIPAMENTOS;19/11/2018 09:50;19/11/2018 10:20;AJUSTE DE POSICIONAMENTO PARTE/ PEÇA;0,00
201804169;ESFIGMOMANÔMETRO ANERÓIDE MANUAL;EA100;INCOTERM;HCPE-1789;;;CENTRAL DE EQUIPAMENTOS;19/11/2018 09:46;19/11/2018 10:40;VERIFICAÇÃO;0,00
201804170;ESFIGMOMANÔMETRO ANERÓIDE MANUAL;MANUAL;PRESSURE;HCPE-1804;;;CENTRAL DE EQUIPAMENTOS;19/11/2018 09:49;19/11/2018 11:00;VERIFICAÇÃO;0,00
201804171;ESFIGMOMANÔMETRO ANERÓIDE MANUAL;;PREMIUM;HCPE-1805;;;GENÉRICO;19/11/2018 09:53;19/11/2018 16:20;VERIFICAÇÃO;0,00
201804172;ESFIGMOMANÔMETRO ANERÓIDE MANUAL;EA100;INCOTERM;HCPE-1789;;;CENTRAL DE EQUIPAMENTOS;19/11/2018 09:54;19/11/2018 16:55;AJUSTE DE POSICIONAMENTO PARTE/ PEÇA;0,00
201804176;CAMA HOSPITALAR ELÉTRICA;ELEGANZA SMART;LINET;HCPE-0345;757.026;20120070600;8° NORTE;19/11/2018 15:57;19/11/2018 19:00;AJUSTE/ REPARO - CABO / CABO DE FORÇA;0,00
201804179;BISTURI ELÉTRICO;FORCE FX;COVIDIEN;HCPE-1493;413.426;S1C01211AX;ENDOSCOPIA;20/11/2018 08:49;20/11/2018 11:20;TESTE DE FUNCIONAMENTO;0,00
201804180;SENSOR DE OXIMETRIA PEDIÁTRICO;GENÉRICO;ALFAMED SISTEMAS MÉDICOS LTDA;HCPE-1084;;;UTI NEONATAL;20/11/2018 11:36;20/11/2018 14:00;REPARO DE ACESSÓRIO;0,00
201804181;SENSOR DE OXIMETRIA PEDIÁTRICO;GENÉRICO;ALFAMED SISTEMAS MÉDICOS LTDA;HCPE-1084;;;UTI NEONATAL;20/11/2018 11:36;20/11/2018 15:00;REPARO DE ACESSÓRIO;0,00
201804188;BISTURI ELÉTRICO;WAVETRONIC 5000 LLEP MASTER;LOKTAL;HCPE-2164;;HBEE;ENGENHARIA CLÍNICA (STEC);20/11/2018 15:08;20/11/2018 15:50;TESTE DE FUNCIONAMENTO;0,00
201804189;BISTURI ELÉTRICO;WAVETRONIC 5000 LLEP MASTER;LOKTAL;HCPE-2165;;;ENGENHARIA CLÍNICA (STEC);20/11/2018 15:08;20/11/2018 16:30;TESTE DE FUNCIONAMENTO;0,00
201804191;FOCO DE PROCEDIMENTO;;GENÉRICO;HCPE-1970;405.876;;AMB. GINECOLOGIA;20/11/2018 16:02;20/11/2018 17:00;AJUSTE/ REPARO - PLACA ELETRÔNICA;0,00
201804192;NOBREAK;;GENÉRICO;HCPE-1875;;;PET SCAN;20/11/2018 17:08;24/12/2018 11:40;ANÁLISE - REALIZAÇÃO;204,90
201804202;MONITOR MULTIPARAMÉTRICO;VITA 600;ALFAMED SISTEMAS MÉDICOS LTDA;HCPE-0652;409.277;V600000093;UTI NEONATAL;21/11/2018 14:00;22/11/2018 16:44;REPARO DE ACESSÓRIO;0,00
201804203;ESFIGMOMANÔMETRO ANERÓIDE DE PEDESTAL;ANEROIDE DE PEDESTAL;MISSOURI;HCPE-0017;405.803;141709;AMB. CARDIOLOGIA;21/11/2018 15:00;21/11/2018 15:30;REPARO DE ACESSÓRIO;0,00
201804204;BOMBA DE INFUSÃO VOLUMÉTRICA;ST 1000;SAMTRONIC;HCPE-1976;;45243M/00;CENTRAL DE EQUIPAMENTOS;21/11/2018 16:39;21/11/2018 18:00;VERIFICAÇÃO;0,00
201804205;BOMBA DE INFUSÃO VOLUMÉTRICA;ST 1000;SAMTRONIC;HCPE-0037;;43987M/00;AMB. ONCOLOGIA;21/11/2018 16:40;22/11/2018 18:15;LIMPEZA/DESINFECÇÃO;0,00
201804206;BOMBA DE INFUSÃO VOLUMÉTRICA;ST 1000;SAMTRONIC;HCPE-0431;;45251M/00;UTI GERAL / URCC;21/11/2018 16:00;21/11/2018 17:30;VERIFICAÇÃO;0,00
201804207;BOMBA DE INFUSÃO VOLUMÉTRICA;ST 1000;SAMTRONIC;HCPE-0368;;45315M/00;8° NORTE;21/11/2018 16:41;22/11/2018 09:10;TESTE DE FUNCIONAMENTO;0,00
201804208;CABO DE ECG PARA HOLTER;4 VIAS;CARDIOS;HCPE-1948;;;AMB. CARDIOLOGIA;21/11/2018 16:51;06/12/2018 14:40;AJUSTE/ REPARO - CABO / CABO DE FORÇA;0,00
201804209;AUTOCLAVE HORIZONTAL;6410/H/2P/E/TS/SO;CISA;HCPE-0905;409.647;16604;UNIDADE DE PROCESSAMENTO DE MATERIAL ESTERILIZADO (CME);22/11/2018 07:41;22/11/2018 08:05;VERIFICAÇÃO;0,00
201804216;BANHO MARIA;100;FANEM;HCPE-1480;760.708;YU4187;RAIO-X (UDI);22/11/2018 17:05;26/11/2018 11:56;REPARO DE ACESSÓRIO;0,00
201804217;COLCHÃO DE AR (ACESSÓRIO);;-;HCPE-1896;;;UTI GERAL / URCC;22/11/2018 11:09;22/11/2018 18:00;ATIVAR/INATIVAR;0,00
201804218;COLCHÃO DE AR (ACESSÓRIO);;-;HCPE-1896;;;UTI GERAL / URCC;22/11/2018 11:06;22/11/2018 16:30;TESTE DE FUNCIONAMENTO;0,00
201804219;COLCHÃO DE AR (ACESSÓRIO);;-;HCPE-1896;;;UTI GERAL / URCC;22/11/2018 11:06;22/11/2018 18:00;ATIVAR/INATIVAR;0,00
201804220;ELETROCARDIÓGRAFO;EP-3;DIXTAL;HCPE-1773;760.757;100312927;BLOCO CIRÚRGICO;23/11/2018 08:00;23/11/2018 09:00;SUBSTITUIÇÃO DE ACESSÓRIO;12,20
201804221;COLCHÃO DE AR (ACESSÓRIO);;-;HCPE-1896;;;UTI GERAL / URCC;22/11/2018 11:05;22/11/2018 18:00;ATIVAR/INATIVAR;0,00
201804222;COLCHÃO DE AR (ACESSÓRIO);;-;HCPE-1896;;;UTI GERAL / URCC;22/11/2018 11:05;23/11/2018 08:00;EMISSÃO DE PARECER DE INATIVAÇÃO;0,00
201804223;COLCHÃO DE AR (ACESSÓRIO);;-;HCPE-1896;;;UTI GERAL / URCC;22/11/2018 11:03;23/11/2018 08:00;EMISSÃO DE PARECER DE INATIVAÇÃO;0,00
201804225;BOMBA DE INFUSÃO VOLUMÉTRICA;ST 1000;SAMTRONIC;HCPE-0751;;64284M/00;NEFROLOGIA;23/11/2018 10:37;23/11/2018 12:00;TESTE DE FUNCIONAMENTO;0,00
201804226;BOMBA DE INFUSÃO VOLUMÉTRICA;ST 1000;SAMTRONIC;HCPE-0683;;43972M/00;URCC;23/11/2018 10:40;23/11/2018 13:20;TESTE DE FUNCIONAMENTO;0,00
201804227;OXÍMETRO DE PULSO PORTÁTIL;N-560;NELLCOR;HCPE-2037;407.204;;CENTRO OBSTÉTRICO;23/11/2018 10:41;23/11/2018 11:50;SUBSTITUIÇÃO DE PEÇA;0,00
201804228;LÂMPADA DE FENDA;SL 105;CARL ZEISS;HCPE-1096;756.471;;OFTALMOLOGIA;23/11/2018 11:26;27/11/2018 11:22;AJUSTE/ REPARO - PARTE ÓTICA;0,00
201804229;LASER;VÍSULAS YAG II PLUS;CARL ZEISS;HCPE-1532;756.259;829843;OFTALMOLOGIA;23/11/2018 11:26;23/11/2018 12:10;ANÁLISE - REALIZAÇÃO;0,00
201804237;APARELHO DE ANESTESIA;DX 5020;DIXTAL;HCPE-1206;763.142;122800191;CENTRO OBSTÉTRICO;26/11/2018 09:07;26/12/2018 11:00;SUBSTITUIÇÃO DE PEÇA;204,90
201804238;CENTRÍFUGA DE TUBOS;CN-2160;HT CENTRIBIO;HCPE-1032;411.644;050020;HEMOTERAPIA;26/11/2018 15:39;27/11/2018 11:26;REPARO DE ACESSÓRIO;0,00
201804239;MESA ELÉTRICA PARA OFTALMOLOGIA;;APRAMED;HCPE-1903;760.746;8939289;CIRURGIA AMBULATORIAL;26/11/2018 15:51;27/11/2018 11:30;AJUSTE/ REPARO - CABO / CABO DE FORÇA;0,00
201804240;BOMBA DE INFUSÃO VOLUMÉTRICA;ST 1000;SAMTRONIC;HCPE-0685;;44000M/00;URCC;26/11/2018 15:55;26/11/2018 16:15;TESTE DE FUNCIONAMENTO;0,00
201804241;BOMBA DE INFUSÃO VOLUMÉTRICA;ST 1000;SAMTRONIC;HCPE-0032;;43968M/00;AMB. ONCOLOGIA;26/11/2018 15:55;26/11/2018 16:50;TESTE DE FUNCIONAMENTO;0,00
201804242;BOMBA DE INFUSÃO VOLUMÉTRICA;ST 1000;SAMTRONIC;HCPE-0823;;64252M/00;9° NORTE (MATERNIDADE);26/11/2018 15:55;27/11/2018 08:22;TESTE DE FUNCIONAMENTO;0,00
201804249;FREEZER;;BRASTEMP;HCPE-1027;413.075;JD8427733;HEMOTERAPIA;23/11/2018 10:00;27/11/2018 09:00;AJUSTE/ REPARO - PLACA ELETRÔNICA;0,00
201804250;INSUFLADOR DE CO2 PARA HISTERO-LAPAROSCOPIA;TERMOFLATOR (26432020);KARL STORZ;HCPE-2090;407.911;WV18610;BLOCO CIRÚRGICO;26/11/2018 17:55;26/11/2018 19:00;ANÁLISE - REALIZAÇÃO;0,00
201804253;CENTRÍFUGA DE TUBOS;CN-2160;HT CENTRIBIO;HCPE-1021;411.650;050024;HEMOTERAPIA;27/11/2018 12:21;03/12/2018 12:00;REPARO DE ACESSÓRIO;0,00
201804257;BOMBA DE INFUSÃO VOLUMÉTRICA;ST 1000;SAMTRONIC;HCPE-0263;;64333M/00;11° NORTE;27/11/2018 17:10;28/11/2018 08:45;TESTE DE FUNCIONAMENTO;0,00
201804258;BERÇO AQUECIDO;BA 51 TS;FANEM;HCPE-0804;757.396;TX7461;9° NORTE (MATERNIDADE);20/11/2018 09:00;20/11/2018 11:00;SUBSTITUIÇÃO DE PEÇA;0,00
201804259;DETECTOR CARDIOFETAL PORTÁTIL;DF-4001;MEDPEJ;HCPE-2071;;31324;TRIAGEM OB. 1°A;27/11/2018 17:11;27/11/2018 17:40;VERIFICAÇÃO;0,00
201804264;FREEZER CIENTÍFICO VERTICAL;349 FV;FANEM;HCPE-1026;413.073;AAC-11757;HEMOTERAPIA;27/11/2018 15:00;27/11/2018 16:00;SUBSTITUIÇÃO DE PEÇA;3,90
201804282;ESFIGMOMANÔMETRO ANERÓIDE DE PEDESTAL;ANEROIDE DE PEDESTAL;BIC;HCPE-0280;412.770;987772;AMB. CARDIOLOGIA;28/11/2018 09:00;06/02/2019 11:32;SUBSTITUIÇÃO DE ACESSÓRIO;0,00
201804283;ESFIGMOMANÔMETRO ANERÓIDE DE PEDESTAL;ANEROIDE DE PEDESTAL;BIC;HCPE-1065;412.748;987839;LAB. HEMATOLOGIA;28/11/2018 09:00;28/11/2018 09:20;VERIFICAÇÃO;0,00
201804284;COMPRESSOR PNEUMÁTICO;DVT - 2600;DAESUNG MAREF;HCPE-1953;;1701250;UTI GERAL / URCC;28/11/2018 11:29;28/11/2018 11:30;SUBSTITUIÇÃO DE ACESSÓRIO;20,00
201804286;CAMA HOSPITALAR ELÉTRICA;ELEGANZA SMART;LINET;HCPE-0345;757.026;20120070600;8° NORTE;28/11/2018 12:27;28/11/2018 14:45;SUBSTITUIÇÃO DE PEÇA;180,30
201804287;CENTRÍFUGA DE TUBOS;CN-2160;HT CENTRIBIO;HCPE-1032;411.644;050020;HEMOTERAPIA;28/11/2018 15:13;28/11/2018 16:20;VERIFICAÇÃO;0,00
201804288;ESFIGMOMANÔMETRO ANERÓIDE DE PEDESTAL;ANEROIDE DE PEDESTAL;MISSOURI;HCPE-0817;406.088;141745;9° NORTE (MATERNIDADE);28/11/2018 16:40;28/11/2018 17:00;TESTE DE FUNCIONAMENTO;0,00
