NEC;U.S.;Sigla Órgão;Nome Órgão;Localização;Identificador;N.º Série;Tipo Equipamento;Classe;Marca;Modelo;Fornecedor;Valor (R$);Aquisição;Núm. Doc. da Aquisição;Nota Fiscal;Garantia;Data Desativação;Desativado;Parecer Desativação;Permitir O.S.;Baixado;Contrato;Equipamento Crítico;Equipamento Próprio;Descrição Complementar;N.º Quebras;N.º Serviço Externo;N.º Peças Utilizadas;Custo Serviço Externo (R$);Custo Peça (R$);Vida Útil;Indisponibilidade (dias);Última MP
HC-UFPE;HC;UNIBC;UNIDADE DE BLOCOS CIRÚRGICOS;BLOCO CIRÚRGICO;COM/HCPE-LIFEMED030;VLK24090851;BOMBA INFUSAO USO GERAL;EQUIPAMENTO;LIFEMED;V-LINK;LIFEMED INDL DE EQUP ART MED HOSP LTDA;1541.78;2025-01-27 00:00:00;;136987;2026-01-26 00:00:00;;NÃO;NÃO;SIM;NÃO;NÃO;NÃO;NÃO;;;;;;;;;
HC-UFPE;HC;UNIBC;UNIDADE DE BLOCOS CIRÚRGICOS;BLOCO CIRÚRGICO;COM/HCPE-LIFEMED056;VLK24090913;BOMBA INFUSAO USO GERAL;EQUIPAMENTO;LIFEMED;V-LINK;LIFEMED INDL DE EQUP ART MED HOSP LTDA;1541.78;2025-01-27 00:00:00;;136987;2026-01-26 00:00:00;;NÃO;NÃO;SIM;NÃO;NÃO;NÃO;NÃO;;;;;;;;;
HC-UFPE;HC;UNIBC;UNIDADE DE BLOCOS CIRÚRGICOS;BLOCO CIRÚRGICO;COM/HCPE-LIFEMED059;VLK24090916;BOMBA INFUSAO USO GERAL;EQUIPAMENTO;LIFEMED;V-LINK;LIFEMED INDL DE EQUP ART MED HOSP LTDA;1541.78;2025-01-27 00:00:00;;136987;2026-01-26 00:00:00;;NÃO;NÃO;SIM;NÃO;NÃO;NÃO;NÃO;;;;;;;;;
HC-UFPE;HC;UNIBC;UNIDADE DE BLOCOS CIRÚRGICOS;BLOCO CIRÚRGICO;COM/HCPE-LIFEMED082;VLK24090950;BOMBA INFUSAO USO GERAL;EQUIPAMENTO;LIFEMED;V-LINK;LIFEMED INDL DE EQUP ART MED HOSP LTDA;1541.78;2025-01-27 00:00:00;;136987;2026-01-26 00:00:00;;NÃO;NÃO;SIM;NÃO;NÃO;NÃO;NÃO;;;;;;;;;
HC-UFPE;HC;UNIBC;UNIDADE DE BLOCOS CIRÚRGICOS;BLOCO CIRÚRGICO;COM/HCPE-LIFEMED087;VLK24090958;BOMBA INFUSAO USO GERAL;EQUIPAMENTO;LIFEMED;V-LINK;LIFEMED INDL DE EQUP ART MED HOSP LTDA;1541.78;2025-01-27 00:00:00;;136987;2026-01-26 00:00:00;;NÃO;NÃO;SIM;NÃO;NÃO;NÃO;NÃO;;;;;;;;;
HC-UFPE;HC;UNIBC;UNIDADE DE BLOCOS CIRÚRGICOS;BLOCO CIRÚRGICO;COM/HCPE-LIFEMED097;VLK24090969;BOMBA INFUSAO USO GERAL;EQUIPAMENTO;LIFEMED;V-LINK;LIFEMED INDL DE EQUP ART MED HOSP LTDA;1541.78;2025-01-27 00:00:00;;136987;2026-01-26 00:00:00;;NÃO;NÃO;SIM;NÃO;NÃO;NÃO;NÃO;;;;;;;;;
HC-UFPE;HC;UNIBC;UNIDADE DE BLOCOS CIRÚRGICOS;BLOCO CIRÚRGICO;COM/HCPE-LIFEMED104;VLK24090989;BOMBA INFUSAO USO GERAL;EQUIPAMENTO;LIFEMED;V-LINK;LIFEMED INDL DE EQUP ART MED HOSP LTDA;1541.78;2025-01-27 00:00:00;;136987;2026-01-26 00:00:00;;NÃO;NÃO;SIM;NÃO;NÃO;NÃO;NÃO;;;;;;;;;
HC-UFPE;HC;UNIBC;UNIDADE DE BLOCOS CIRÚRGICOS;BLOCO CIRÚRGICO;COM/HCPE-LIFEMED109;VLK24091015;BOMBA INFUSAO USO GERAL;EQUIPAMENTO;LIFEMED;V-LINK;LIFEMED INDL DE EQUP ART MED HOSP LTDA;1541.78;2025-01-27 00:00:00;;136987;2026-01-26 00:00:00;;NÃO;NÃO;SIM;NÃO;NÃO;NÃO;NÃO;;;;;;;;;
HC-UFPE;HC;UNIBC;UNIDADE DE BLOCOS CIRÚRGICOS;BLOCO CIRÚRGICO;COM/HCPE-LIFEMED144;VLK24091067;BOMBA INFUSAO USO GERAL;EQUIPAMENTO;LIFEMED;V-LINK;LIFEMED INDL DE EQUP ART MED HOSP LTDA;1541.78;2025-01-27 00:00:00;;136987;2026-01-26 00:00:00;;NÃO;NÃO;SIM;NÃO;NÃO;NÃO;NÃO;;;;;;;;;
HC-UFPE;HC;UNIBC;UNIDADE DE BLOCOS CIRÚRGICOS;BLOCO CIRÚRGICO;COM/HCPE-LIFEMED168;VLK24091101;BOMBA INFUSAO USO GERAL;EQUIPAMENTO;LIFEMED;V-LINK;LIFEMED INDL DE EQUP ART MED HOSP LTDA;1541.78;2025-01-27 00:00:00;;136987;2026-01-26 00:00:00;;NÃO;NÃO;SIM;NÃO;NÃO;NÃO;NÃO;;;;;;;;;
HC-UFPE;HC;UNIBC;UNIDADE DE BLOCOS CIRÚRGICOS;BLOCO CIRÚRGICO;COM/HCPE-LIFEMED175;VLK24091113;BOMBA INFUSAO USO GERAL;EQUIPAMENTO;LIFEMED;V-LINK;LIFEMED INDL DE EQUP ART MED HOSP LTDA;1541.78;2025-01-27 00:00:00;;136987;2026-01-26 00:00:00;;NÃO;NÃO;SIM;NÃO;NÃO;NÃO;NÃO;;;;;;;;;
HC-UFPE;HC;UNIBC;UNIDADE DE BLOCOS CIRÚRGICOS;BLOCO CIRÚRGICO;COM/HCPE-LIFEMED179;VLK24091118;BOMBA INFUSAO USO GERAL;EQUIPAMENTO;LIFEMED;V-LINK;LIFEMED INDL DE EQUP ART MED HOSP LTDA;1541.78;2025-01-27 00:00:00;;136987;2026-01-26 00:00:00;;NÃO;NÃO;SIM;NÃO;NÃO;NÃO;NÃO;;;;;;;;;
HC-UFPE;HC;UNIBC;UNIDADE DE BLOCOS CIRÚRGICOS;BLOCO CIRÚRGICO;COM/HCPE-LIFEMED183;VLK24091122;BOMBA INFUSAO USO GERAL;EQUIPAMENTO;LIFEMED;V-LINK;LIFEMED INDL DE EQUP ART MED HOSP LTDA;1541.78;2025-01-27 00:00:00;;136987;2026-01-26 00:00:00;;NÃO;NÃO;SIM;NÃO;NÃO;NÃO;NÃO;;;;;;;;;
HC-UFPE;HC;UNIBC;UNIDADE DE BLOCOS CIRÚRGICOS;BLOCO CIRÚRGICO;COM/HCPE-LIFEMED189;VLK24091130;BOMBA INFUSAO USO GERAL;EQUIPAMENTO;LIFEMED;V-LINK;LIFEMED INDL DE EQUP ART MED HOSP LTDA;1541.78;2025-01-27 00:00:00;;136987;2026-01-26 00:00:00;;NÃO;NÃO;SIM;NÃO;NÃO;NÃO;NÃO;;;;;;;;;
HC-UFPE;HC;UNIBC;UNIDADE DE BLOCOS CIRÚRGICOS;BLOCO CIRÚRGICO;COM/HCPE-LIFEMED190;VLK24091131;BOMBA INFUSAO USO GERAL;EQUIPAMENTO;LIFEMED;V-LINK;LIFEMED INDL DE EQUP ART MED HOSP LTDA;1541.78;2025-01-27 00:00:00;;136987;2026-01-26 00:00:00;;NÃO;NÃO;SIM;NÃO;NÃO;NÃO;NÃO;;;;;;;;;
HC-UFPE;HC;UNIBC;UNIDADE DE BLOCOS CIRÚRGICOS;BLOCO CIRÚRGICO;COM/HCPE-LIFEMED197;VLK24091142;BOMBA INFUSAO USO GERAL;EQUIPAMENTO;LIFEMED;V-LINK;LIFEMED INDL DE EQUP ART MED HOSP LTDA;1541.78;2025-01-27 00:00:00;;136987;2026-01-26 00:00:00;;NÃO;NÃO;SIM;NÃO;NÃO;NÃO;NÃO;;;;;;;;;
HC-UFPE;HC;UNIBC;UNIDADE DE BLOCOS CIRÚRGICOS;BLOCO CIRÚRGICO;COM/HCPE-LIFEMED203;VLK24091148;BOMBA INFUSAO USO GERAL;EQUIPAMENTO;LIFEMED;V-LINK;LIFEMED INDL DE EQUP ART MED HOSP LTDA;1541.78;2025-01-27 00:00:00;;136987;2026-01-26 00:00:00;;NÃO;NÃO;SIM;NÃO;NÃO;NÃO;NÃO;;;;;;;;;
HC-UFPE;HC;UNIBC;UNIDADE DE BLOCOS CIRÚRGICOS;BLOCO CIRÚRGICO;COM/HCPE-LIFEMED204;VLK24091149;BOMBA INFUSAO USO GERAL;EQUIPAMENTO;LIFEMED;V-LINK;LIFEMED INDL DE EQUP ART MED HOSP LTDA;1541.78;2025-01-27 00:00:00;;136987;2026-01-26 00:00:00;;NÃO;NÃO;SIM;NÃO;NÃO;NÃO;NÃO;;;;;;;;;
HC-UFPE;HC;UNIBC;UNIDADE DE BLOCOS CIRÚRGICOS;BLOCO CIRÚRGICO;COM/HCPE-LIFEMED239;VLK24091192;BOMBA INFUSAO USO GERAL;EQUIPAMENTO;LIFEMED;V-LINK;LIFEMED INDL DE EQUP ART MED HOSP LTDA;1541.78;2025-01-27 00:00:00;;136987;2026-01-26 00:00:00;;NÃO;NÃO;SIM;NÃO;NÃO;NÃO;NÃO;;;;;;;;;
HC-UFPE;HC;UNIBC;UNIDADE DE BLOCOS CIRÚRGICOS;BLOCO CIRÚRGICO;COM/HCPE-LIFEMED246;VLK24091201;BOMBA INFUSAO USO GERAL;EQUIPAMENTO;LIFEMED;V-LINK;LIFEMED INDL DE EQUP ART MED HOSP LTDA;1541.78;2025-01-27 00:00:00;;136987;2026-01-26 00:00:00;;NÃO;NÃO;SIM;NÃO;NÃO;NÃO;NÃO;;;;;;;;;
HC-UFPE;HC;UNIBC;UNIDADE DE BLOCOS CIRÚRGICOS;BLOCO CIRÚRGICO;COM/HCPE-LIFEMED254;VLK24091209;BOMBA INFUSAO USO GERAL;EQUIPAMENTO;LIFEMED;V-LINK;LIFEMED INDL DE EQUP ART MED HOSP LTDA;1541.78;2025-01-27 00:00:00;;136987;2026-01-26 00:00:00;;NÃO;NÃO;SIM;NÃO;NÃO;NÃO;NÃO;;;;;;;;;
HC-UFPE;HC;UNIBC;UNIDADE DE BLOCOS CIRÚRGICOS;BLOCO CIRÚRGICO;COM/HCPE-LIFEMED256;VLK24091211;BOMBA INFUSAO USO GERAL;EQUIPAMENTO;LIFEMED;V-LINK;LIFEMED INDL DE EQUP ART MED HOSP LTDA;1541.78;2025-01-27 00:00:00;;136987;2026-01-26 00:00:00;;NÃO;NÃO;SIM;NÃO;NÃO;NÃO;NÃO;;;;;;;;;
HC-UFPE;HC;UNIBC;UNIDADE DE BLOCOS CIRÚRGICOS;BLOCO CIRÚRGICO;COM/HCPE-LIFEMED260;VLK24091215;BOMBA INFUSAO USO GERAL;EQUIPAMENTO;LIFEMED;V-LINK;LIFEMED INDL DE EQUP ART MED HOSP LTDA;1541.78;2025-01-27 00:00:00;;136987;2026-01-26 00:00:00;;NÃO;NÃO;SIM;NÃO;NÃO;NÃO;NÃO;;;;;;;;;
HC-UFPE;HC;UNIBC;UNIDADE DE BLOCOS CIRÚRGICOS;BLOCO CIRÚRGICO;COM/HCPE-LIFEMED270;VLK24091228;BOMBA INFUSAO USO GERAL;EQUIPAMENTO;LIFEMED;V-LINK;LIFEMED INDL DE EQUP ART MED HOSP LTDA;1541.78;2025-01-27 00:00:00;;136987;2026-01-26 00:00:00;;NÃO;NÃO;SIM;NÃO;NÃO;NÃO;NÃO;;;;;;;;;
HC-UFPE;HC;UNIDI;UNIDADE DE DIAGNÓSTICO POR IMAGEM;ECOCARDIOGRAMA;COM/HCPE-LIFEMED247;VLK24091202;BOMBA INFUSAO USO GERAL;EQUIPAMENTO;LIFEMED;V-LINK;LIFEMED INDL DE EQUP ART MED HOSP LTDA;1541.78;2025-01-27 00:00:00;;136987;2026-01-26 00:00:00;;NÃO;NÃO;SIM;NÃO;NÃO;NÃO;NÃO;;;;;;;;;
HC-UFPE;HC;UNIDI;UNIDADE DE DIAGNÓSTICO POR IMAGEM;MEDICINA NUCLEAR;COM/HCPE-LIFEMED085;VLK24090956;BOMBA INFUSAO USO GERAL;EQUIPAMENTO;LIFEMED;V-LINK;LIFEMED INDL DE EQUP ART MED HOSP LTDA;1541.78;2025-01-27 00:00:00;;136987;2026-01-26 00:00:00;;NÃO;NÃO;SIM;NÃO;NÃO;NÃO;NÃO;;;;;;;;;
HC-UFPE;HC;UNIDI;UNIDADE DE DIAGNÓSTICO POR IMAGEM;MEDICINA NUCLEAR;COM/HCPE-LIFEMED143;VLK24091066;BOMBA INFUSAO USO GERAL;EQUIPAMENTO;LIFEMED;V-LINK;LIFEMED INDL DE EQUP ART MED HOSP LTDA;1541.78;2025-01-27 00:00:00;;136987;2026-01-26 00:00:00;;NÃO;NÃO;SIM;NÃO;NÃO;NÃO;NÃO;;;;;;;;;
HC-UFPE;HC;UNIDI;UNIDADE DE DIAGNÓSTICO POR IMAGEM;PET;COM/HCPE-LIFEMED050;VLK24090904;BOMBA INFUSAO USO GERAL;EQUIPAMENTO;LIFEMED;V-LINK;LIFEMED INDL DE EQUP ART MED HOSP LTDA;1541.78;2025-01-27 00:00:00;;136987;2026-01-26 00:00:00;;NÃO;NÃO;SIM;NÃO;NÃO;NÃO;NÃO;;;;;;;;;
HC-UFPE;HC;UNIDI;UNIDADE DE DIAGNÓSTICO POR IMAGEM;PET;COM/HCPE-LIFEMED083;VLK24090951;BOMBA INFUSAO USO GERAL;EQUIPAMENTO;LIFEMED;V-LINK;LIFEMED INDL DE EQUP ART MED HOSP LTDA;1541.78;2025-01-27 00:00:00;;136987;2026-01-26 00:00:00;;NÃO;NÃO;SIM;NÃO;NÃO;NÃO;NÃO;;;;;;;;;
HC-UFPE;HC;UNIDI;UNIDADE DE DIAGNÓSTICO POR IMAGEM;PET SCAN;HCPE-1155;64282M/00;BOMBA INFUSAO USO GERAL;EQUIPAMENTO;SAMTRONIC;ST-1000;ALLIANCE MEDINFUSION LTDA;3500.0;2017-01-01 00:00:00;COMODATO;1;2018-01-01 00:00:00;;NÃO;NÃO;SIM;NÃO;NÃO;NÃO;SIM;;;;;;;;;
HC-UFPE;HC;UNIFC;UNIDADE DE FARMÁCIA CLÍNICA;FARMÁCIA ONCOLÓGICA;COM/HCPE-LIFEMED024;VLK24090838;BOMBA INFUSAO USO GERAL;EQUIPAMENTO;LIFEMED;V-LINK;LIFEMED INDL DE EQUP ART MED HOSP LTDA;1541.78;2025-01-27 00:00:00;;136987;2026-01-26 00:00:00;;NÃO;NÃO;SIM;NÃO;NÃO;NÃO;NÃO;;;;;;;;;
HC-UFPE;HC;UNIFC;UNIDADE DE FARMÁCIA CLÍNICA;FARMÁCIA ONCOLÓGICA;COM/HCPE-LIFEMED074;VLK24090933;BOMBA INFUSAO USO GERAL;EQUIPAMENTO;LIFEMED;V-LINK;LIFEMED INDL DE EQUP ART MED HOSP LTDA;1541.78;2025-01-27 00:00:00;;136987;2026-01-26 00:00:00;;NÃO;NÃO;SIM;NÃO;NÃO;NÃO;NÃO;;;;;;;;;
HC-UFPE;HC;UNIRI;UNIDADE DE RADIOLOGIA INTERVENCIONISTA;HEMODINÂMICA;COM/HCPE-LIFEMED136;VLK24091058;BOMBA INFUSAO USO GERAL;EQUIPAMENTO;LIFEMED;V-LINK;LIFEMED INDL DE EQUP ART MED HOSP LTDA;1541.78;2025-01-27 00:00:00;;136987;2026-01-26 00:00:00;;NÃO;NÃO;SIM;NÃO;NÃO;NÃO;NÃO;;;;;;;;;
HC-UFPE;HC;UNIRI;UNIDADE DE RADIOLOGIA INTERVENCIONISTA;HEMODINÂMICA;COM/HCPE-LIFEMED167;VLK24091100;BOMBA INFUSAO USO GERAL;EQUIPAMENTO;LIFEMED;V-LINK;LIFEMED INDL DE EQUP ART MED HOSP LTDA;1541.78;2025-01-27 00:00:00;;136987;2026-01-26 00:00:00;;NÃO;NÃO;SIM;NÃO;NÃO;NÃO;NÃO;;;;;;;;;
HC-UFPE;HC;UNIRI;UNIDADE DE RADIOLOGIA INTERVENCIONISTA;HEMODINÂMICA;COM/HCPE-LIFEMED237;VLK24091190;BOMBA INFUSAO USO GERAL;EQUIPAMENTO;LIFEMED;V-LINK;LIFEMED INDL DE EQUP ART MED HOSP LTDA;1541.78;2025-01-27 00:00:00;;136987;2026-01-26 00:00:00;;NÃO;NÃO;SIM;NÃO;NÃO;NÃO;NÃO;;;;;;;;;
HC-UFPE;HC;UNIRI;UNIDADE DE RADIOLOGIA INTERVENCIONISTA;HEMODINÂMICA;COM/HCPE-LIFEMED251;VLK24091206;BOMBA INFUSAO USO GERAL;EQUIPAMENTO;LIFEMED;V-LINK;LIFEMED INDL DE EQUP ART MED HOSP LTDA;1541.78;2025-01-27 00:00:00;;136987;2026-01-26 00:00:00;;NÃO;NÃO;SIM;NÃO;NÃO;NÃO;NÃO;;;;;;;;;
HC-UFPE;HC;UNIRI;UNIDADE DE RADIOLOGIA INTERVENCIONISTA;HEMODINÂMICA;COM/HCPE-LIFEMED277;VLK24091238;BOMBA INFUSAO USO GERAL;EQUIPAMENTO;LIFEMED;V-LINK;LIFEMED INDL DE EQUP ART MED HOSP LTDA;1541.78;2025-01-27 00:00:00;;136987;2026-01-26 00:00:00;;NÃO;NÃO;SIM;NÃO;NÃO;NÃO;NÃO;;;;;;;;;
HC-UFPE;HC;UNIRI;UNIDADE DE RADIOLOGIA INTERVENCIONISTA;HEMODINÂMICA;COM/HCPE-LIFEMED298;VLK24091268;BOMBA INFUSAO USO GERAL;EQUIPAMENTO;LIFEMED;V-LINK;LIFEMED INDL DE EQUP ART MED HOSP LTDA;1541.78;2025-01-27 00:00:00;;136987;2026-01-26 00:00:00;;NÃO;NÃO;SIM;NÃO;NÃO;NÃO;NÃO;;;;;;;;;
HC-UFPE;HC;UOH;UNIDADE DE ONCOLOGIA E HEMATOLOGIA;QUIMIOTERAPIA (AMB.);COM/HCPE-LIFEMED011;VLK24090806;BOMBA INFUSAO USO GERAL;EQUIPAMENTO;LIFEMED;V-LINK;LIFEMED INDL DE EQUP ART MED HOSP LTDA;1541.78;2025-02-03 00:00:00;XX;136987;2026-02-02 00:00:00;;NÃO;NÃO;SIM;NÃO;NÃO;NÃO;NÃO;;;;;;;;;
HC-UFPE;HC;UOH;UNIDADE DE ONCOLOGIA E HEMATOLOGIA;QUIMIOTERAPIA (AMB.);COM/HCPE-LIFEMED015;VLK24090815;BOMBA INFUSAO USO GERAL;EQUIPAMENTO;LIFEMED;V-LINK;LIFEMED INDL DE EQUP ART MED HOSP LTDA;1541.78;2025-02-03 00:00:00;XX;136987;2026-02-02 00:00:00;;NÃO;NÃO;SIM;NÃO;NÃO;NÃO;NÃO;;;;;;;;;
HC-UFPE;HC;UOH;UNIDADE DE ONCOLOGIA E HEMATOLOGIA;QUIMIOTERAPIA (AMB.);COM/HCPE-LIFEMED033;VLK24090859;BOMBA INFUSAO USO GERAL;EQUIPAMENTO;LIFEMED;V-LINK;LIFEMED INDL DE EQUP ART MED HOSP LTDA;1541.78;2025-01-27 00:00:00;;136987;2026-01-26 00:00:00;;NÃO;NÃO;SIM;NÃO;NÃO;NÃO;NÃO;;;;;;;;;
HC-UFPE;HC;UOH;UNIDADE DE ONCOLOGIA E HEMATOLOGIA;QUIMIOTERAPIA (AMB.);COM/HCPE-LIFEMED037;VLK24090868;BOMBA INFUSAO USO GERAL;EQUIPAMENTO;LIFEMED;V-LINK;LIFEMED INDL DE EQUP ART MED HOSP LTDA;1541.78;2025-01-27 00:00:00;;136987;2026-01-26 00:00:00;;NÃO;NÃO;SIM;NÃO;NÃO;NÃO;NÃO;;;;;;;;;
HC-UFPE;HC;UOH;UNIDADE DE ONCOLOGIA E HEMATOLOGIA;QUIMIOTERAPIA (AMB.);COM/HCPE-LIFEMED047;VLK24090898;BOMBA INFUSAO USO GERAL;EQUIPAMENTO;LIFEMED;V-LINK;LIFEMED INDL DE EQUP ART MED HOSP LTDA;1541.78;2025-01-27 00:00:00;;136987;2026-01-26 00:00:00;;NÃO;NÃO;SIM;NÃO;NÃO;NÃO;NÃO;;;;;;;;;
HC-UFPE;HC;UOH;UNIDADE DE ONCOLOGIA E HEMATOLOGIA;QUIMIOTERAPIA (AMB.);COM/HCPE-LIFEMED048;VLK24090900;BOMBA INFUSAO USO GERAL;EQUIPAMENTO;LIFEMED;V-LINK;LIFEMED INDL DE EQUP ART MED HOSP LTDA;1541.78;2025-01-27 00:00:00;;136987;2026-01-26 00:00:00;;NÃO;NÃO;SIM;NÃO;NÃO;NÃO;NÃO;;;;;;;;;
HC-UFPE;HC;UOH;UNIDADE DE ONCOLOGIA E HEMATOLOGIA;QUIMIOTERAPIA (AMB.);COM/HCPE-LIFEMED061;VLK24090918;BOMBA INFUSAO USO GERAL;EQUIPAMENTO;LIFEMED;V-LINK;LIFEMED INDL DE EQUP ART MED HOSP LTDA;1541.78;2025-01-27 00:00:00;;136987;2026-01-26 00:00:00;;NÃO;NÃO;SIM;NÃO;NÃO;NÃO;NÃO;;;;;;;;;
HC-UFPE;HC;UOH;UNIDADE DE ONCOLOGIA E HEMATOLOGIA;QUIMIOTERAPIA (AMB.);COM/HCPE-LIFEMED084;VLK24090955;BOMBA INFUSAO USO GERAL;EQUIPAMENTO;LIFEMED;V-LINK;LIFEMED INDL DE EQUP ART MED HOSP LTDA;1541.78;2025-01-27 00:00:00;;136987;2026-01-26 00:00:00;;NÃO;NÃO;SIM;NÃO;NÃO;NÃO;NÃO;;;;;;;;;
HC-UFPE;HC;UOH;UNIDADE DE ONCOLOGIA E HEMATOLOGIA;QUIMIOTERAPIA (AMB.);COM/HCPE-LIFEMED098;VLK24090970;BOMBA INFUSAO USO GERAL;EQUIPAMENTO;LIFEMED;V-LINK;LIFEMED INDL DE EQUP ART MED HOSP LTDA;1541.78;2025-01-27 00:00:00;;136987;2026-01-26 00:00:00;;NÃO;NÃO;SIM;NÃO;NÃO;NÃO;NÃO;;;;;;;;;
HC-UFPE;HC;UOH;UNIDADE DE ONCOLOGIA E HEMATOLOGIA;QUIMIOTERAPIA (AMB.);COM/HCPE-LIFEMED162;VLK24091093;BOMBA INFUSAO USO GERAL;EQUIPAMENTO;LIFEMED;V-LINK;LIFEMED INDL DE EQUP ART MED HOSP LTDA;1541.78;2025-01-27 00:00:00;;136987;2026-01-26 00:00:00;;NÃO;NÃO;SIM;NÃO;NÃO;NÃO;NÃO;;;;;;;;;
HC-UFPE;HC;UOH;UNIDADE DE ONCOLOGIA E HEMATOLOGIA;QUIMIOTERAPIA (AMB.);COM/HCPE-LIFEMED174;VLK24091112;BOMBA INFUSAO USO GERAL;EQUIPAMENTO;LIFEMED;V-LINK;LIFEMED INDL DE EQUP ART MED HOSP LTDA;1541.78;2025-01-27 00:00:00;;136987;2026-01-26 00:00:00;;NÃO;NÃO;SIM;NÃO;NÃO;NÃO;NÃO;;;;;;;;;
HC-UFPE;HC;UOH;UNIDADE DE ONCOLOGIA E HEMATOLOGIA;QUIMIOTERAPIA (AMB.);COM/HCPE-LIFEMED178;VLK24091117;BOMBA INFUSAO USO GERAL;EQUIPAMENTO;LIFEMED;V-LINK;LIFEMED INDL DE EQUP ART MED HOSP LTDA;1541.78;2025-01-27 00:00:00;;136987;2026-01-26 00:00:00;;NÃO;NÃO;SIM;NÃO;NÃO;NÃO;NÃO;;;;;;;;;
HC-UFPE;HC;UOH;UNIDADE DE ONCOLOGIA E HEMATOLOGIA;QUIMIOTERAPIA (AMB.);COM/HCPE-LIFEMED181;VLK24091120;BOMBA INFUSAO USO GERAL;EQUIPAMENTO;LIFEMED;V-LINK;LIFEMED INDL DE EQUP ART MED HOSP LTDA;1541.78;2025-01-27 00:00:00;;136987;2026-01-26 00:00:00;;NÃO;NÃO;SIM;NÃO;NÃO;NÃO;NÃO;;;;;;;;;
HC-UFPE;HC;UOH;UNIDADE DE ONCOLOGIA E HEMATOLOGIA;QUIMIOTERAPIA (AMB.);COM/HCPE-LIFEMED225;VLK24091177;BOMBA INFUSAO USO GERAL;EQUIPAMENTO;LIFEMED;V-LINK;LIFEMED INDL DE EQUP ART MED HOSP LTDA;1541.78;2025-01-27 00:00:00;;136987;2026-01-26 00:00:00;;NÃO;NÃO;SIM;NÃO;NÃO;NÃO;NÃO;;;;;;;;;
HC-UFPE;HC;UOH;UNIDADE DE ONCOLOGIA E HEMATOLOGIA;QUIMIOTERAPIA (AMB.);COM/HCPE-LIFEMED232;VLK24091185;BOMBA INFUSAO USO GERAL;EQUIPAMENTO;LIFEMED;V-LINK;LIFEMED INDL DE EQUP ART MED HOSP LTDA;1541.78;2025-01-27 00:00:00;;136987;2026-01-26 00:00:00;;NÃO;NÃO;SIM;NÃO;NÃO;NÃO;NÃO;;;;;;;;;
HC-UFPE;HC;UOH;UNIDADE DE ONCOLOGIA E HEMATOLOGIA;QUIMIOTERAPIA (AMB.);COM/HCPE-LIFEMED273;VLK24091231;BOMBA INFUSAO USO GERAL;EQUIPAMENTO;LIFEMED;V-LINK;LIFEMED INDL DE EQUP ART MED HOSP LTDA;1541.78;2025-01-27 00:00:00;;136987;2026-01-26 00:00:00;;NÃO;NÃO;SIM;NÃO;NÃO;NÃO;NÃO;;;;;;;;;
HC-UFPE;HC;UOH;UNIDADE DE ONCOLOGIA E HEMATOLOGIA;QUIMIOTERAPIA (AMB.);COM/HCPE-LIFEMED280;VLK24091241;BOMBA INFUSAO USO GERAL;EQUIPAMENTO;LIFEMED;V-LINK;LIFEMED INDL DE EQUP ART MED HOSP LTDA;1541.78;2025-01-27 00:00:00;;136987;2026-01-26 00:00:00;;NÃO;NÃO;SIM;NÃO;NÃO;NÃO;NÃO;;;;;;;;;
HC-UFPE;HC;UOH;UNIDADE DE ONCOLOGIA E HEMATOLOGIA;QUIMIOTERAPIA (AMB.);COM/HCPE-LIFEMED283;VLK24091245;BOMBA INFUSAO USO GERAL;EQUIPAMENTO;LIFEMED;V-LINK;LIFEMED INDL DE EQUP ART MED HOSP LTDA;1541.78;2025-01-27 00:00:00;;136987;2026-01-26 00:00:00;;NÃO;NÃO;SIM;NÃO;NÃO;NÃO;NÃO;;;;;;;;;
HC-UFPE;HC;USU;UNIDADE DO SISTEMA URINÁRIO;NEFROLOGIA;COM/HCPE-LIFEMED022;VLK24090835;BOMBA INFUSAO USO GERAL;EQUIPAMENTO;LIFEMED;V-LINK;LIFEMED INDL DE EQUP ART MED HOSP LTDA;1541.78;2025-01-27 00:00:00;;136987;2026-01-26 00:00:00;;NÃO;NÃO;SIM;NÃO;NÃO;NÃO;NÃO;;;;;;;;;
HC-UFPE;HC;USU;UNIDADE DO SISTEMA URINÁRIO;NEFROLOGIA;COM/HCPE-LIFEMED058;VLK24090915;BOMBA INFUSAO USO GERAL;EQUIPAMENTO;LIFEMED;V-LINK;LIFEMED INDL DE EQUP ART MED HOSP LTDA;1541.78;2025-01-27 00:00:00;;136987;2026-01-26 00:00:00;;NÃO;NÃO;SIM;NÃO;NÃO;NÃO;NÃO;;;;;;;;;
HC-UFPE;HC;USU;UNIDADE DO SISTEMA URINÁRIO;NEFROLOGIA;COM/HCPE-LIFEMED202;VLK24091147;BOMBA INFUSAO USO GERAL;EQUIPAMENTO;LIFEMED;V-LINK;LIFEMED INDL DE EQUP ART MED HOSP LTDA;1541.78;2025-01-27 00:00:00;;136987;2026-01-26 00:00:00;;NÃO;NÃO;SIM;NÃO;NÃO;NÃO;NÃO;;;;;;;;;
