MANUTENÇÕES CORRETIVAS REALIZADAS EXTERNAMENTE DURANTE O CONTRATO SL ENGENHARIA HOSPITALAR E HOSPITAL DAS CLÍNICAS;Unnamed: 1;Unnamed: 2;Unnamed: 3;Unnamed: 4;Unnamed: 5;Unnamed: 6;Unnamed: 7;Unnamed: 8;Unnamed: 9;Unnamed: 10;Unnamed: 11;Unnamed: 12
201903511;CÂMERA DE VÍDEO;H3-Z(22220055-3);KARL STORZ;HCPE-1914;;XV841788-H;BLOCO CIRÚRGICO;29/08/2019 07:50;29/08/2019 17:00;AJUSTE/ REPARO - PARTE ÓTICA;GFAN SOLUÇÕES;0,00
201903520;DENSITÔMETRO;DISCOVERY;HOLOGIC;HCPE-1462;414.824;85914;DENSITOMETRIA (UDI);01/08/2019 08:20;29/08/2019 18:00;SUBSTITUIÇÃO DE PEÇA;IMEX MEDICAL;4.319,70
201903757;MICROSCÓPIO CIRÚRGICO;OPMI LUMERA I;CARL ZEISS;HCPE-1719;413.730;6633122981;CIRURGIA AMBULATORIAL;02/09/2019 16:13;11/05/2021 15:34;AJUSTE/ REPARO - ESTRUTURA FÍSICA;TECHMED, TECHMED;1.800,00
201903760;ULTRASSOM;HD7;PHILIPS;HCPE-1140;412.140;CI50090805;ULTRASSOM (UDI);03/09/2019 12:09;04/09/2019 17:00;ANÁLISE - NENHUM DEFEITO DETECTADO;PHILIPS MEDICAL SYSTEMS;0,00
201903762;DENSITÔMETRO;DISCOVERY;HOLOGIC;HCPE-1462;414.824;85914;DENSITOMETRIA (UDI);02/09/2019 08:00;03/09/2019 19:30;SUBSTITUIÇÃO DE PEÇA;IMEX MEDICAL;0,00
201903779;DIGITALIZADORA DE IMAGENS;CR 85-X;AGFA;HCPE-1468;414.863;5631;RAIO-X (UDI);05/09/2019 07:35;05/09/2019 18:00;AJUSTE DE POSICIONAMENTO PARTE/ PEÇA;AGFA HEALTCARE BRASIL IMPORTAÇÃO E SEVIÇOS LTDA;0,00
201903780;DIGITALIZADORA DE IMAGENS;CR 85-X;AGFA;HCPE-1470;414.865;5736;RAIO-X (UDI);05/09/2019 07:35;05/09/2019 18:00;AJUSTE DE POSICIONAMENTO PARTE/ PEÇA;AGFA HEALTCARE BRASIL IMPORTAÇÃO E SEVIÇOS LTDA;0,00
201903802;CAMA HOSPITALAR ELÉTRICA;ENTERPRISE 8000;ARJOHUNTLEIGH;HCPE-0489;410.794;P0144266;UTI GERAL / URCC;06/09/2019 15:08;06/10/2021 14:32;SUBSTITUIÇÃO DE PEÇA;RESMEDICAL EQUIPAMENTOS HOSPITALARES LTDA;9.837,79
201903803;EQUIPAMENTO DE HEMODIÁLISE;4008 S;FRESENIUS MEDICAL CARE;HCPE-0730;407.067;4SXAU388;HEMODIÁLISE;09/09/2019 08:14;09/09/2019 12:15;TESTE DE FUNCIONAMENTO;FRESENIUS MEDICAL CARE LTDA;0,00
201903804;EQUIPAMENTO DE HEMODIÁLISE;4008 S;FRESENIUS MEDICAL CARE;HCPE-0712;407.072;4SXAU390;HEMODIÁLISE;09/09/2019 08:16;09/09/2019 13:00;AJUSTE DE POSICIONAMENTO PARTE/ PEÇA;FRESENIUS MEDICAL CARE LTDA;0,00
201903805;EQUIPAMENTO DE HEMODIÁLISE;4008 S;FRESENIUS MEDICAL CARE;HCPE-0707;;4SXAU368;HEMODIÁLISE;09/09/2019 08:20;11/09/2019 15:30;SUBSTITUIÇÃO DE PEÇA;FRESENIUS MEDICAL CARE LTDA, FRESENIUS MEDICAL CARE LTDA;0,00
201903810;ULTRASSOM;LOGIQ S7 EXPERT;GE;HCPE-1132;412.163;LS7500708SU1;ULTRASSOM (UDI);09/09/2019 09:51;17/09/2019 12:00;SUBSTITUIÇÃO DE PEÇA;GE HEALTHCARE DO BRASIL COM. E SER. P/ EMH;0,00
201903812;ÓPTICA DE VÍDEO;4MM 30°;TAIMIN;HCPE-2440;;;UNIDADE DE PROCESSAMENTO DE MATERIAL ESTERILIZADO (CME);27/08/2019 12:00;23/01/2020 13:00;EMISSÃO DE PARECER DE INATIVAÇÃO;ASTATO;0,00
201903813;ÓPTICA PARA HISTEROSCOPIA;26120 BA;KARL STORZ;HCPE-2436;;;UNIDADE DE PROCESSAMENTO DE MATERIAL ESTERILIZADO (CME);27/08/2019 12:00;23/03/2022 14:37;AJUSTE/ REPARO - PARTE ÓTICA;ASTATO;3.933,00
201903814;ÓPTICA PARA HISTEROSCOPIA;26120 BA;KARL STORZ;HCPE-2436;;;UNIDADE DE PROCESSAMENTO DE MATERIAL ESTERILIZADO (CME);06/09/2019 09:30;09/02/2021 09:23;SUBSTITUIÇÃO DE PEÇA;TECHMED;3.200,00
201903817;AUTOCLAVE HORIZONTAL;HI VAC II;BAUMER;HCPE-0904;759.959;1553.03.7061;UNIDADE DE PROCESSAMENTO DE MATERIAL ESTERILIZADO (CME);09/09/2019 17:15;27/11/2019 15:00;SUBSTITUIÇÃO DE PEÇA;BRAXMED, BRAXMED, BRAXMED;654,00
201903851;VIDEOCOLONOSCÓPIO;CF-Q150L;OLYMPUS;HCPE-1859;;2900475;ENDOSCOPIA;12/09/2019 07:53;28/01/2020 08:45;AJUSTE/ REPARO - ESTRUTURA FÍSICA;ASSISTEC;3.040,00
201903855;FACOEMULSIFICADOR;ACCURUS 400VS;ALCON;HCPE-2106;;1002291901X;CIRURGIA AMBULATORIAL;13/09/2019 14:42;17/01/2020 16:00;SUBSTITUIÇÃO DE PEÇA;CARLOS HENRIQUE MUNIZ IGLESIAS ME;13.680,00
201903859;ULTRASSOM;LOGIQ S7 EXPERT;GE;HCPE-1127;412.146;LS7500753SU1;ULTRASSOM (UDI);16/09/2019 15:57;24/09/2019 16:50;SUBSTITUIÇÃO DE PEÇA;GE HEALTHCARE DO BRASIL COM. E SER. P/ EMH;0,00
201903874;INCUBADORA DE TRANSPORTE;IT 158 TS;FANEM;HCPE-1311;407.202;CF1476;TRIAGEM OB. 1°A;12/09/2019 10:00;29/11/2019 11:00;SUBSTITUIÇÃO DE PEÇA;MEDICAL MERCANTIL DE APARELHAGEM MÉDICA LTDA;4.330,00
201903879;ENDOSCÓPIO RÍGIDO;;GENÉRICO;HCPE-2449;;;UNIDADE DE PROCESSAMENTO DE MATERIAL ESTERILIZADO (CME);17/09/2019 11:35;08/05/2020 10:45;SUBSTITUIÇÃO DE PEÇA;LAPAROMED MÉDICA;2.800,00
201903880;EQUIPAMENTO DE HEMODIÁLISE;4008 S;FRESENIUS MEDICAL CARE;HCPE-0712;407.072;4SXAU390;HEMODIÁLISE;18/09/2019 17:01;20/09/2019 12:00;TESTE DE FUNCIONAMENTO;FRESENIUS MEDICAL CARE LTDA;0,00
201903892;TERMODESINFECTADORA;155;CISA;HCPE-0906;409.645;25176;UNIDADE DE PROCESSAMENTO DE MATERIAL ESTERILIZADO (CME);19/09/2019 14:06;24/09/2019 16:30;ANÁLISE DE REQUISIÇÃO, CONFIGURAÇÃO;SUPPORTCARE TECNOLOGIA HOSPITALAR LTDA.;0,00
201903908;RESSONÂNCIA MAGNÉTICA;SIGNA HDI;GE;HCPE-0914;;MRR8279;RESSONÂNCIA (UDI);20/09/2019 17:01;29/01/2024 10:29;ACOMPANHAMENTO DE SERVIÇO/ATIVIDADE;GE HEALTHCARE DO BRASIL COM. E SER. P/ EMH;0,00
201903916;BOMBA DE INFUSÃO VOLUMÉTRICA;ST 1000;SAMTRONIC;HCPE-0176;;64270M/00;CENTRAL DE EQUIPAMENTOS;23/09/2019 09:49;15/10/2019 17:15;CALIBRAÇÃO - REALIZAÇÃO;ALLIANCE MEDINFUSION LTDA;0,00
201903917;BOMBA DE INFUSÃO VOLUMÉTRICA;ST 1000;SAMTRONIC;HCPE-0456;;45286M/00;UTI GERAL / URCC;23/09/2019 09:50;15/10/2019 17:30;CALIBRAÇÃO - REALIZAÇÃO;ALLIANCE MEDINFUSION LTDA;0,00
201903918;BOMBA DE INFUSÃO VOLUMÉTRICA;ST 1000;SAMTRONIC;HCPE-0180;;64323M/00;CENTRAL DE EQUIPAMENTOS;23/09/2019 09:54;15/10/2019 17:45;CALIBRAÇÃO - REALIZAÇÃO;ALLIANCE MEDINFUSION LTDA;0,00
201903919;VENTILADOR PULMONAR;INTER 7 PLUS;INTERMED;HCPE-0253;758.975;I7P-2010-05-00755;11° SUL;23/09/2019 09:53;08/07/2020 15:37;SUBSTITUIÇÃO DE PEÇA;KESA LTDA., KESA LTDA.;6.747,05
201903921;EQUIPAMENTO DE OSMOSE REVERSA PARA HEMODIÁLISE;AQUATOR;FRESENIUS MEDICAL CARE;HCPE-2454;;8GQA0087;HEMODIÁLISE;23/09/2019 16:03;25/10/2019 14:30;CONFIGURAÇÃO;FRESENIUS MEDICAL CARE LTDA;0,00
201903922;EQUIPAMENTO DE OSMOSE REVERSA PARA HEMODIÁLISE;AQUATOR;FRESENIUS MEDICAL CARE;HCPE-2454;;8GQA0087;HEMODIÁLISE;06/09/2019 12:45;07/09/2019 15:00;LIMPEZA/DESINFECÇÃO;FRESENIUS MEDICAL CARE LTDA;0,00
201903923;DIGITALIZADORA DE IMAGENS;CR 85-X;AGFA;HCPE-1468;414.863;5631;RAIO-X (UDI);23/09/2019 10:54;24/09/2019 13:00;TESTE DE FUNCIONAMENTO;AGFA HEALTCARE BRASIL IMPORTAÇÃO E SEVIÇOS LTDA;0,00
201903958;BOMBA DE INFUSÃO VOLUMÉTRICA;ST 1000;SAMTRONIC;HCPE-1430;;64261M/00;CENTRAL DE EQUIPAMENTOS;26/09/2019 09:25;23/10/2019 17:00;CALIBRAÇÃO - REALIZAÇÃO;ALLIANCE MEDINFUSION LTDA;0,00
201903959;IMPRESSORA LASER;DRYSTAR 5503;AGFA;HCPE-1466;414.860;18551;RAIO-X (UDI);25/09/2019 11:19;26/09/2019 17:35;SUBSTITUIÇÃO DE ACESSÓRIO;AGFA HEALTCARE BRASIL IMPORTAÇÃO E SEVIÇOS LTDA;0,00
201903975;IMPRESSORA;DRYPIX 4000;FUJIFILM;HCPE-2320;;86617725;TOMOGRAFIA (UDI);27/09/2019 15:01;01/10/2019 11:00;AJUSTE DE POSICIONAMENTO PARTE/ PEÇA;FUJIFILM;0,00
201903979;VENTILADOR PULMONAR;DX3012;DIXTAL;HCPE-1909;410.778;120210941080A1V;UTI NEONATAL;30/09/2019 09:45;03/04/2020 11:31;SUBSTITUIÇÃO DE PEÇA;SUPPORTCARE TECNOLOGIA HOSPITALAR LTDA.;4.460,50
201904133;TOMÓGRAFO COMPUTADORIZADO;AQUILION CXL-TSX-101 A/Q;TOSHIBA;HCPE-1473;414.972;QCB14Y2316;RAIO-X (UDI);01/10/2019 08:20;01/10/2019 16:00;ATUALIZAÇÃO/INSTALAÇÃO/CONFIGURAÇÃO DE SOFTWARE;CANON MEDICAL SYSTEMS DO BRASIL;0,00
201904137;BOMBA DE INFUSÃO VOLUMÉTRICA;ST 1000;SAMTRONIC;HCPE-2161;;64281M/00;CENTRAL DE EQUIPAMENTOS;01/10/2019 12:11;05/12/2019 17:19;AJUSTE/ REPARO - PLACA ELETRÔNICA;ALLIANCE MEDINFUSION LTDA, ALLIANCE MEDINFUSION LTDA, ALLIANCE MEDINFUSION LTDA;0,00
201904139;BOMBA DE INFUSÃO VOLUMÉTRICA;ST 1000;SAMTRONIC;HCPE-0866;;64211M/00;HEMODINÂMICA;01/10/2019 12:12;23/10/2019 17:00;CALIBRAÇÃO - REALIZAÇÃO;ALLIANCE MEDINFUSION LTDA;0,00
201904140;BOMBA DE INFUSÃO VOLUMÉTRICA;ST 1000;SAMTRONIC;HCPE-0190;;64215M/00;11° SUL;01/10/2019 12:13;23/10/2019 17:00;CALIBRAÇÃO - REALIZAÇÃO;ALLIANCE MEDINFUSION LTDA;0,00
201904142;MONITOR MULTIPARAMÉTRICO;VITA 400A;ALFAMED SISTEMAS MÉDICOS LTDA;HCPE-1939;407.891;V4A0000002;BLOCO CIRÚRGICO;30/09/2019 16:10;04/11/2019 14:50;AJUSTE/ REPARO - PLACA ELETRÔNICA;EQUIPTECH SOLUÇÕES TECNOLÓGICAS;0,00
201904155;RAIO X TELECOMANDADO;AXIOM ICONOS MD;SIEMENS;HCPE-0319;414.843;19233;DIAGIMAGEM;02/10/2019 08:15;18/05/2020 17:00;SUBSTITUIÇÃO DE PEÇA;SIEMENS LTDA, SIEMENS LTDA;5.600,00
201904156;CENTRÍFUGA DE TUBOS;80-2B;HT CENTRIBIO;HCPE-1030;411.646;241;HEMOTERAPIA;12/09/2019 16:42;07/10/2019 14:47;REPARO / AJUSTE;GIGAVIDA;0,00
201904163;MAMÓGRAFO;GRAPH-MAMMO AF;VMI;HCPE-1507;760.707;P8504103001;RAIO-X (UDI);26/09/2019 11:20;03/10/2019 09:10;TESTE DE FUNCIONAMENTO;SUPPORTCARE TECNOLOGIA HOSPITALAR LTDA.;0,00
201904180;TERMODESINFECTADORA;155;CISA;HCPE-0906;409.645;25176;UNIDADE DE PROCESSAMENTO DE MATERIAL ESTERILIZADO (CME);02/10/2019 12:00;03/10/2019 16:00;AJUSTE/ REPARO - ESTRUTURA FÍSICA;SUPPORTCARE TECNOLOGIA HOSPITALAR LTDA.;0,00
201904193;BOMBA DE INFUSÃO VOLUMÉTRICA;ST 1000;SAMTRONIC;HCPE-0037;;43987M/00;AMB. ONCOLOGIA;08/10/2019 16:00;29/10/2019 09:30;CALIBRAÇÃO - REALIZAÇÃO;ALLIANCE MEDINFUSION LTDA;0,00
201904219;BOMBA DE INFUSÃO VOLUMÉTRICA;ST 1000;SAMTRONIC;HCPE-0371;;64170M/00;CENTRAL DE EQUIPAMENTOS;11/10/2019 08:58;29/10/2019 09:20;CALIBRAÇÃO - REALIZAÇÃO;ALLIANCE MEDINFUSION LTDA;0,00
201904224;VENTILADOR PULMONAR;IX5;INTERMED;HCPE-2258;761.387;IX5-2019-01-06912;UTI NEONATAL;14/10/2019 08:45;14/11/2019 11:10;AJUSTE/ REPARO - PLACA ELETRÔNICA;KESA LTDA.;0,00
201904225;VENTILADOR PULMONAR;IX5;INTERMED;HCPE-2256;761.389;IX5-2019-01-06915;UTI NEONATAL;14/10/2019 08:46;19/11/2019 13:37;AJUSTE/ REPARO - PLACA ELETRÔNICA;KESA LTDA.;0,00
201904229;AUTOCLAVE HORIZONTAL;6410/H/2P/E/TS/SO;CISA;HCPE-0905;409.647;16604;UNIDADE DE PROCESSAMENTO DE MATERIAL ESTERILIZADO (CME);11/10/2019 15:30;24/10/2019 18:00;AJUSTE/ REPARO - ESTRUTURA FÍSICA;SUPPORTCARE TECNOLOGIA HOSPITALAR LTDA.;0,00
201904231;BOMBA DE INFUSÃO VOLUMÉTRICA;ST 1000;SAMTRONIC;HCPE-0391;;65042M/00;8° SUL (DIP / COVID);14/10/2019 15:29;29/10/2019 09:40;CALIBRAÇÃO - REALIZAÇÃO;ALLIANCE MEDINFUSION LTDA;0,00
201904232;BOMBA DE INFUSÃO VOLUMÉTRICA;ST 1000;SAMTRONIC;HCPE-0681;;64265M/00;URCC;14/10/2019 15:30;29/10/2019 09:10;CALIBRAÇÃO - REALIZAÇÃO;ALLIANCE MEDINFUSION LTDA;0,00
201904238;EQUIPAMENTO DE HEMODIÁLISE;GENIUS PREPARATOR;FRESENIUS MEDICAL CARE;HCPE-2773;;7GTA0406;HEMODIÁLISE;15/10/2019 11:06;06/05/2020 11:00;TESTE DE FUNCIONAMENTO;FRESENIUS MEDICAL CARE LTDA;0,00
201904242;INCUBADORA HÍBRIDA;DUETTO 2386;FANEM;HCPE-2275;761.100;CP0243;UTI NEONATAL;14/10/2019 13:00;13/11/2019 12:00;SUBSTITUIÇÃO DE PEÇA;MEDICAL MERCANTIL DE APARELHAGEM MÉDICA LTDA;0,00
201904246;EQUIPAMENTO DE HEMODIÁLISE;4008 S;FRESENIUS MEDICAL CARE;HCPE-0711;407.070;4SXAU366;HEMODIÁLISE;16/10/2019 11:40;25/10/2019 13:57;SUBSTITUIÇÃO DE PEÇA;FRESENIUS MEDICAL CARE LTDA;0,00
201904247;EQUIPAMENTO DE HEMODIÁLISE;4008 S;FRESENIUS MEDICAL CARE;HCPE-0707;;4SXAU368;HEMODIÁLISE;16/10/2019 11:44;25/10/2019 14:27;SUBSTITUIÇÃO DE PEÇA;FRESENIUS MEDICAL CARE LTDA;0,00
201904248;EQUIPAMENTO DE HEMODIÁLISE;4008 S;FRESENIUS MEDICAL CARE;HCPE-0708;407.611;4SXAU371;HEMODIÁLISE;16/10/2019 11:45;25/10/2019 14:18;AJUSTE DE POSICIONAMENTO PARTE/ PEÇA;FRESENIUS MEDICAL CARE LTDA;0,00
201904255;TOMÓGRAFO DE COERÊNCIA ÓPTICA;SPECTRALIS OCT;HEIDELBERG ENGINEERING;HCPE-2469;406.290;HRA2-KT-04050;AMB. OFTALMOLOGIA;16/10/2019 14:37;07/02/2022 16:00;INSTALAÇÃO/MONTAGEM - REALIZAÇÃO;FOCUS OPTIC COM, IMPOR. E SERVICOS EIRELI, FOCUS OPTIC COM, IMPOR. E SERVICOS EIRELI;5.203,90
201904280;FONTE DE LUZ DE XENON;FX 180 R;INNOVA TECHNIK;HCPE-1183;775.883;FX0100874-0004;AMB. OFTALMOLOGIA;16/10/2019 08:00;12/03/2020 11:24;AJUSTE/ REPARO - PLACA ELETRÔNICA;CRM MEDICAL;4.040,00
201904284;CARDIOVERSOR;CARDIOMAX;INSTRAMED;HCPE-2376;761.673;052019CM12900;BLOCO CIRÚRGICO;17/10/2019 13:00;23/01/2020 11:40;REPARO / AJUSTE;REPRESENTA MATERIAIS CIRÚRGICOS;0,00
201904289;RAIO X FIXO;COMPACTO PLUS 500;PHILIPS;HCPE-1505;;0124-002-0179;RAIO-X (UDI);21/10/2019 08:11;31/10/2019 17:30;REPARO / AJUSTE;SUPPORTCARE TECNOLOGIA HOSPITALAR LTDA.;0,00
201904296;AUTOCLAVE HORIZONTAL;HI VAC II;BAUMER;HCPE-0904;759.959;1553.03.7061;UNIDADE DE PROCESSAMENTO DE MATERIAL ESTERILIZADO (CME);21/10/2019 10:11;21/10/2019 13:00;AJUSTE/ REPARO - ESTRUTURA FÍSICA;BRAXMED;0,00
201904301;ULTRASSOM;HD7;PHILIPS;HCPE-1140;412.140;CI50090805;ULTRASSOM (UDI);22/10/2019 07:47;25/11/2019 18:00;SUBSTITUIÇÃO DE PEÇA;PHILIPS MEDICAL SYSTEMS, PHILIPS MEDICAL SYSTEMS, PHILIPS MEDICAL SYSTEMS;0,00
201904302;TERMODESINFECTADORA;155;CISA;HCPE-0906;409.645;25176;UNIDADE DE PROCESSAMENTO DE MATERIAL ESTERILIZADO (CME);21/10/2019 10:09;24/10/2019 17:00;SUBSTITUIÇÃO DE PEÇA;SUPPORTCARE TECNOLOGIA HOSPITALAR LTDA.;0,00
201904304;TOMOGRAFIA POR EMISSÃO DE PÓSITRONS PET/CT;DISCOVERY PET/CT;GE;HCPE-1344;417.828;PET14201PT8;PET SCAN;22/10/2019 11:54;23/04/2020 12:58;ATUALIZAÇÃO/INSTALAÇÃO/CONFIGURAÇÃO DE SOFTWARE;GE HEALTHCARE DO BRASIL COM. E SER. P/ EMH, GE HEALTHCARE DO BRASIL COM. E SER. P/ EMH, GE HEALTHCARE DO BRASIL COM. E SER. P/ EMH;15.382,00
201904343;DENSITÔMETRO;DISCOVERY;HOLOGIC;HCPE-1462;414.824;85914;DENSITOMETRIA (UDI);30/10/2019 09:42;06/11/2019 16:00;ANÁLISE - REALIZAÇÃO;IMEX MEDICAL;0,00
201904347;TERMODESINFECTADORA;155;CISA;HCPE-0906;409.645;25176;UNIDADE DE PROCESSAMENTO DE MATERIAL ESTERILIZADO (CME);30/10/2019 17:09;06/11/2019 15:00;CONFIGURAÇÃO;SUPPORTCARE TECNOLOGIA HOSPITALAR LTDA.;0,00
201904673;CENTRÍFUGA DE TUBOS;CN-2160;HT CENTRIBIO;HCPE-1021;411.650;050024;HEMOTERAPIA;01/11/2019 11:21;18/02/2020 10:44;AJUSTE/ REPARO - ESTRUTURA FÍSICA;MENCOL TECNOLOGIA;0,00
201904689;EQUIPAMENTO DE HEMODIÁLISE;4008 S;FRESENIUS MEDICAL CARE;HCPE-0727;407.046;4SXAU381;HEMODIÁLISE;04/11/2019 14:26;06/11/2019 15:00;SUBSTITUIÇÃO DE PEÇA;FRESENIUS MEDICAL CARE LTDA;0,00
201904697;TERMOSELADORA;RSR-2000;RON MICROMECÂNICA;HCPE-0909;;3700;UNIDADE DE PROCESSAMENTO DE MATERIAL ESTERILIZADO (CME);05/11/2019 11:37;05/11/2019 16:30;AJUSTE/ REPARO - PLACA ELETRÔNICA;DISMAP;0,00
201904698;TERMODESINFECTADORA;155;CISA;HCPE-0906;409.645;25176;UNIDADE DE PROCESSAMENTO DE MATERIAL ESTERILIZADO (CME);05/11/2019 15:30;06/11/2019 15:00;CONFIGURAÇÃO;SUPPORTCARE TECNOLOGIA HOSPITALAR LTDA.;0,00
201904711;EQUIPAMENTO DE HEMODIÁLISE;4008 S;FRESENIUS MEDICAL CARE;HCPE-1654;;4SXAU385;HEMODIÁLISE;07/11/2019 10:46;08/11/2019 08:00;SUBSTITUIÇÃO DE PEÇA;FRESENIUS MEDICAL CARE LTDA;0,00
201904712;EQUIPAMENTO DE HEMODIÁLISE;4008 S;FRESENIUS MEDICAL CARE;HCPE-0712;407.072;4SXAU390;HEMODIÁLISE;07/11/2019 10:46;08/11/2019 13:00;REPARO / AJUSTE;FRESENIUS MEDICAL CARE LTDA;0,00
201904713;EQUIPAMENTO DE HEMODIÁLISE;4008 S;FRESENIUS MEDICAL CARE;HCPE-1653;760.775;4SXAU387;HEMODIÁLISE;07/11/2019 10:47;04/12/2019 09:30;SUBSTITUIÇÃO DE ACESSÓRIO, SUBSTITUIÇÃO DE PEÇA;FRESENIUS MEDICAL CARE LTDA, FRESENIUS MEDICAL CARE LTDA;0,00
201904714;EQUIPAMENTO DE HEMODIÁLISE;4008 S;FRESENIUS MEDICAL CARE;HCPE-0711;407.070;4SXAU366;HEMODIÁLISE;07/11/2019 10:47;04/12/2019 09:00;SUBSTITUIÇÃO DE PEÇA;FRESENIUS MEDICAL CARE LTDA;0,00
201904729;DIGITALIZADORA DE IMAGENS;CR 85-X;AGFA;HCPE-1470;414.865;5736;RAIO-X (UDI);08/11/2019 11:37;20/12/2019 11:00;SUBSTITUIÇÃO DE LÂMPADA;AGFA HEALTCARE BRASIL IMPORTAÇÃO E SEVIÇOS LTDA;0,00
201904743;BOMBA DE INFUSÃO VOLUMÉTRICA;ST 1000;SAMTRONIC;HCPE-0261;;64341M/00;CENTRAL DE EQUIPAMENTOS;11/11/2019 10:07;21/11/2019 17:16;CALIBRAÇÃO - REALIZAÇÃO;ALLIANCE MEDINFUSION LTDA;0,00
201904750;TOMÓGRAFO COMPUTADORIZADO;AQUILION CXL-TSX-101 A/Q;TOSHIBA;HCPE-1473;414.972;QCB14Y2316;RAIO-X (UDI);11/11/2019 17:00;19/11/2019 16:20;FALSA FALHA TESTES E VERIFICAÇÕES DEFEITO NÃO IDENTIFICADO;CANON MEDICAL SYSTEMS DO BRASIL;0,00
201904756;UMIDIFICADOR;GT 5000;GLOBAL TEC;HCPE-2480;;HU10180109;UTI NEONATAL;12/11/2019 07:31;06/01/2020 16:10;REPARO / AJUSTE;KESA LTDA., KESA LTDA.;0,00
201904763;TERMOSELADORA;RSR-2000;RON MICROMECÂNICA;HCPE-2193;;5754;UNIDADE DE PROCESSAMENTO DE MATERIAL ESTERILIZADO (CME);11/11/2019 13:30;11/11/2019 14:30;SUBSTITUIÇÃO DE PEÇA;DISMAP;0,00
201904826;AUTOCLAVE HORIZONTAL;HI VAC II;BAUMER;HCPE-0904;759.959;1553.03.7061;UNIDADE DE PROCESSAMENTO DE MATERIAL ESTERILIZADO (CME);20/11/2019 08:20;27/11/2019 17:30;SUBSTITUIÇÃO DE PEÇA;BRAXMED, BRAXMED;0,00
201904836;RETINÓGRAFO;CX-1;CANON;HCPE-2472;414.164;200304;OFTALMOLOGIA;05/11/2019 08:00;26/12/2019 16:30;REPARO / AJUSTE;APRAMED;0,00
201904837;EQUIPAMENTO DE HEMODIÁLISE;GENIUS 90;FRESENIUS MEDICAL CARE;HCPE-2422;;8GYA2822;HEMODIÁLISE;21/11/2019 07:55;21/11/2019 19:30;SUBSTITUIÇÃO DE PEÇA;FRESENIUS MEDICAL CARE LTDA;0,00
201904838;EQUIPAMENTO DE HEMODIÁLISE;GENIUS 90;FRESENIUS MEDICAL CARE;HCPE-2424;;8GYA2826;HEMODIÁLISE;21/11/2019 07:56;21/11/2019 21:00;TESTE DE FUNCIONAMENTO;FRESENIUS MEDICAL CARE LTDA;0,00
201904851;BOMBA DE INFUSÃO VOLUMÉTRICA;ST 1000;SAMTRONIC;HCPE-0420;;43973M/00;UTI GERAL / URCC;22/11/2019 16:45;19/12/2019 08:30;CALIBRAÇÃO - REALIZAÇÃO;ALLIANCE MEDINFUSION LTDA;0,00
201904852;BOMBA DE INFUSÃO VOLUMÉTRICA;ST 1000;SAMTRONIC;HCPE-0453;;64286M/00;UTI GERAL / URCC;22/11/2019 16:46;19/12/2019 08:30;CALIBRAÇÃO - REALIZAÇÃO;ALLIANCE MEDINFUSION LTDA;0,00
201904853;BOMBA DE INFUSÃO VOLUMÉTRICA;ST 1000;SAMTRONIC;HCPE-1819;;64336M/00;CENTRAL DE EQUIPAMENTOS;22/11/2019 16:46;19/12/2019 08:30;CALIBRAÇÃO - REALIZAÇÃO;ALLIANCE MEDINFUSION LTDA;0,00
201904862;IMPRESSORA;DRYPIX 4000;FUJIFILM;HCPE-2320;;86617725;TOMOGRAFIA (UDI);25/11/2019 15:01;26/11/2019 13:15;REPARO / AJUSTE;UNIVEN;0,00
201904878;VENTILADOR PULMONAR;IX5;INTERMED;HCPE-2259;761.392;IX5-2019-01-06914;UTI NEONATAL;27/11/2019 09:13;03/01/2020 16:30;REPARO / AJUSTE;KESA LTDA.;0,00
201904885;CONJUNTO DE PISTOLAS PRESSURIZADAS;MAXYCLEAN ST;PROFILAX COMERCIO DE PRODUTOS MEDICOS E HOSPITALARES LTDA -;HCPE-1877;413.432;C000186;ENDOSCOPIA;28/11/2019 13:00;27/08/2020 07:50;SUBSTITUIÇÃO DE PEÇA;PROFILÁTICA;2.591,60
201904940;UNITARIZADORA DE MEDICAMENTOS;OPUS 30X;OPUSPAC SYSTEM;HCPE-0925;409.825;MUB125.2012;FARMÁCIA;11/11/2019 10:00;10/02/2020 15:45;SUBSTITUIÇÃO DE PEÇA;VIDEOMED;3.496,14
201904941;UMIDIFICADOR;GT 5000;GLOBAL TEC;HCPE-2481;;HU11180024;UTI NEONATAL;03/12/2019 09:00;30/12/2019 09:20;REPARO / AJUSTE;KESA LTDA.;0,00
201904993;VENTILADOR PULMONAR;SERVO-AIR;MAQUET;HCPE-1765;759.985;12130;UTI GERAL / URCC;09/12/2019 09:55;07/01/2020 11:27;REPARO / AJUSTE;RESMEDICAL EQUIPAMENTOS HOSPITALARES LTDA;0,00
201904996;DISPENSADOR DE PARAFINA;CL2014;LUPETEC;HCPE-0215;760.343;170076;ANATOMIA PATOLÓGICA;05/12/2019 08:00;07/04/2022 07:10;EMISSÃO DE PARECER DE INATIVAÇÃO;LUPETEC;0,00
201904998;VENTILADOR PULMONAR;IX5;INTERMED;HCPE-2261;761.388;IX5-2019-01-06913;UTI NEONATAL;09/12/2019 17:30;11/12/2019 16:02;CALIBRAÇÃO - REALIZAÇÃO;KESA LTDA.;0,00
