Identificador;Tipo Equipamento;Modelo;Marca;Localização;Criticidade;Data de Aquisição;Status;Valor (R$);Custo total externo;Peso
HCPE-3601;VENTILADOR UTI;SV-300;MINDRAY;UTI ADULTO;3.0;2023-12-07;Em uso;66500.0;0.0;0.5
HCPE-3604,;VENTILADOR UTI;SV-300;MINDRAY;CENTRAL DE EQUIPAMENTOS (CE);3.0;2023-12-07;Em uso;66500.0;0.0;0.5
HCPE-0583,759.717;FOTOTERAPIA HIPERBILIRRUBINEMIA;BILITRON BED-4006;FANEM;ENGENHARIA CLÍNICA;3.0;2018-02-09;Em uso;10500.0;0.0;0.5
HCPE-0537,759.720;FOTOTERAPIA HIPERBILIRRUBINEMIA;BILITRON BED-4006;FANEM;ENGENHARIA CLÍNICA;3.0;2018-02-09;Em uso;10500.0;0.0;0.5
HCPE-0923,;UNI ANESTESIA;AESTIVA-5-MRI;GE HEALTHCARE;RESSONÂNCIA;3.0;2016-10-04;Em uso;225000.0;0.0;0.5
HCPE-2580,771.246;UNI ANESTESIA;WATO EX-55;MINDRAY;PET SCAN;3.0;2020-02-06;Em uso;63531.0;0.0;0.5
HCPE-3104,775.957;UNI ANESTESIA;ATLAN A-300;DRAGER;UNIDADE DE BLOCOS CIRÚRGICOS;3.0;2021-11-09;Em uso;102713.0;0.0;0.5
HCPE-1760,759.977;VENTILADOR UTI;SERVO AIR;MAQUET;UTI ADULTO- 5º ANDAR;3.0;2018-04-03;Em uso;44485.5;0.0;0.5
HCPE-1756,759.986;VENTILADOR UTI;SERVO AIR;MAQUET;UTI ADULTO- 5º ANDAR;3.0;2018-04-03;Em uso;44485.5;0.0;0.5
HCPE-1644,759.718;FOTOTERAPIA HIPERBILIRRUBINEMIA;BILITRON BED-4006;FANEM;MATERNIDADE;3.0;2018-02-09;Em uso;10500.0;0.0;0.5
HCPE-0637,409.255;VENTILADOR UTI;INTER-3;INTERMED;ESGENHARIA CLÍNICA (STEC);3.0;2018-02-26;Em uso;0.0;0.0;0.5
HCPE-3606;VENTILADOR UTI;SV-300;MINDRAY;CENTRAL DE EQUIPAMENTOS;3.0;2023-12-07;Em uso;66500.0;0.0;0.5
HCPE-1761,759.979;VENTILADOR UTI;SERVO AIR;MAQUET;UTI ADULTO- 5º ANDAR;3.0;2018-04-03;Em uso;44485.5;0.0;0.5
HCPE-2956,773.509;MICROSCOPIO CIRURGICO;OPMI LUMERA I;CARL ZEISS;UNIDADE DE BLOCOS CIRÚRGICOS;3.0;2021-05-28;Em uso;409053.0;0.0;0.5
HCPE-2485,764.175;VENTILADOR UTI;IX-5;INTERMED;UTI NEONATAL;3.0;2019-11-12;Em uso;51200.0;0.0;0.5
HCPE-3433,;VENTILADOR UTI;SV-300;MINDRAY;UTI NEO;3.0;2022-12-26;Em uso;73000.0;0.0;0.5
HCPE-2957,773.508;MICROSCOPIO CIRURGICO;OPMI LUMERA I;CARL ZEISS;UNIDADE DE BLOCOS CIRÚRGICOS;3.0;2021-05-28;Em uso;409053.0;0.0;0.5
HCPE-2261,;VENTILADOR UTI;IX-5;INTERMED;UTI NEONATAL;3.0;2019-02-14;Em uso;40200.0;0.0;0.5
HCPE-2552;CAMERA VIDEO ENDOSCOPIO;IMAGE-1-H-3-Z-222200 55;KARL STORZ;UNIDADE DE BLOCOS CIRÚRGICOS;1.0;2015-04-13;Em uso;300000.0;17276.94;0.367769448428481
HCPE-1913;CAMERA VIDEO ENDOSCOPIO;IMAGE-1-H-3-Z-222200 55;KARL STORZ;UNIDADE DE BLOCOS CIRÚRGICOS;1.0;2015-04-13;Em uso;300000.0;15912.99;0.36768238791984775
HCPE-1915;CAMERA VIDEO ENDOSCOPIO;IMAGE-1-H-3-Z-222200 55;KARL STORZ;UNIDADE DE BLOCOS CIRÚRGICOS;1.0;2015-04-13;Em uso;300000.0;15912.99;0.36768238791984775
HCPE-1914;CAMERA VIDEO ENDOSCOPIO;IMAGE-1-H-3-Z-222200 55;KARL STORZ;UNIDADE DE BLOCOS CIRÚRGICOS;1.0;2015-04-13;Em uso;300000.0;14005.45;0.3675606302288486
HCPE-2227;CAMERA VIDEO ENDOSCOPIO;IMAGE-1-H-3-Z-222200 55;KARL STORZ;UNIDADE DE BLOCOS CIRÚRGICOS;1.0;2015-04-13;Em uso;300000.0;10500.0;0.3673368784344364
HCPE-0489,410.794;CAMA ELETRICA;ENTERPRISE-8000;ARJOHUNTLEIGH;UTI ADULTO / URCC;1.0;2013-01-01;Em uso;15000.0;9837.79;0.3672946097739854
HCPE-1356,407.968;BISTURI ELETRONICO MONOPOLAR-BIPOLAR;SS-501-S;WEM;UNIDADE DE BLOCOS CIRÚRGICOS;1.0;2008-02-01;Em uso;20000.0;5385.0;0.3670103895589943
HCPE-1850,410.870;BISTURI ELETRONICO MONOPOLAR-BIPOLAR;FORCE FX;COVIDIEN;UNIDADE DE BLOCOS CIRÚRGICOS;1.0;2012-02-01;Em uso;23000.0;4900.0;0.36697943215829254
HCPE-1358,407.969;BISTURI ELETRONICO MONOPOLAR-BIPOLAR;SS-501-S;WEM;UNIDADE DE BLOCOS CIRÚRGICOS;1.0;2008-02-01;Em uso;20000.0;3545.0;0.36689294292540414
HCPE-1849,407.254;BISTURI ELETRONICO MONOPOLAR-BIPOLAR;FORCE FX;COVIDIEN;UNIDADE DE BLOCOS CIRÚRGICOS;1.0;2012-02-01;Em uso;23000.0;2650.0;0.3668358153509133
HCPE-2177,406.529;BALANCA PACIENTE INFANTIL ELETRONICA;BP BABY;FILIZOLA;UTI ADULTO;1.0;2002-01-01;Em uso;960.0;1800.0;0.36678156011257
HCPE-1878,757.898;BALANCA PACIENTE INFANTIL ELETRONICA;109-E;WELMY;UTI NEONATAL;1.0;2012-01-01;Em uso;750.0;1520.0;0.3667636877987629
HCPE-1847,407.949;DISPENSADOR GELO;IM-15 10-P;ELETTROMEC;BLOCO CIRÚRGICO;1.0;2011-05-22;Em uso;0.0;850.0;0.36672092190500993
HCPE-1817,413.187;BALANCA PACIENTE PLATAFORMA ELETRONICA;W-200;WELMY;8° SUL (DIP / COVID);1.0;2007-01-01;Em uso;1100.0;430.0;0.36669411343429914
HCPE-1534,407.934;DIGITALIZADOR/GRAVADOR VIDEO;AIDA CONTROL NEO-20046120;KARL STORZ;UNIDADE DE BLOCOS CIRÚRGICOS;1.0;2015-01-01;Em uso;120000.0;420.0;0.3666934751373775
HCPE-1879,757.897;BALANCA PACIENTE INFANTIL ELETRONICA;BP BABY;FILIZOLA;UTI NEONATAL;1.0;2002-01-01;Em uso;960.0;380.0;0.3666909219496907
HCPE-1295,758.087;BALANCA PACIENTE INFANTIL ELETRONICA;BP BABY;FILIZOLA;UTI NEONATAL;1.0;2002-01-01;Em uso;960.0;310.0;0.3666864538712389
HCPE-1297,409.293;BALANCA PACIENTE INFANTIL ELETRONICA;BP BABY;FILIZOLA;CENTRO OBSTÉTRICO;1.0;2002-01-01;Em uso;960.0;17.72;0.36666779772881186
HCPE-0718,758.656;CAMA ELETRICA;ELEGANZA SMART;LINET;HEMODIÁLISE;1.0;2012-01-01;Em uso;12000.0;0.0;0.3666666666666667
HCPE-1240,407.493;CAMA ELETRICA PARTO;HM-2006;HOSPIMETAL;CENTRO OBSTÉTRICO;1.0;2013-01-01;Em uso;15000.0;0.0;0.3666666666666667
HCPE-0339,757.043;CAMA ELETRICA;ELEGANZA SMART;LINET;8° NORTE;1.0;2012-01-01;Em uso;12000.0;0.0;0.3666666666666667
HCPE-0336;CAMA ELETRICA;ELEGANZA SMART;LINET;8° NORTE;1.0;2012-01-01;Em uso;12000.0;0.0;0.3666666666666667
HCPE-0327,757.028;CAMA ELETRICA;ELEGANZA SMART;LINET;8° NORTE;1.0;2012-01-01;Em uso;12000.0;0.0;0.3666666666666667
HCPE-0299,757.959;CAMA ELETRICA;ELEGANZA SMART;LINET;8° NORTE;1.0;2012-01-01;Em uso;12000.0;0.0;0.3666666666666667
HCPE-0294,758.676;CAMA ELETRICA;ELEGANZA SMART;LINET;8° NORTE;1.0;2012-01-01;Em uso;12000.0;0.0;0.3666666666666667
HCPE-0133,758.485;CAMA ELETRICA;ELEGANZA SMART;LINET;8° NORTE;1.0;2012-01-01;Em uso;12000.0;0.0;0.3666666666666667
HCPE-2266,415.004;CAMA ELETRICA;ELEGANZA SMART;LINET;TRIAGEM OBSTÉTRICA;1.0;2012-01-01;Em uso;12000.0;0.0;0.3666666666666667
HCPE-2265,758.765;CAMA ELETRICA;ELEGANZA SMART;LINET;TRIAGEM OBSTÉTRICA;1.0;2012-01-01;Em uso;12000.0;0.0;0.3666666666666667
HCPE-0719,407.084;CAMA ELETRICA;ELEGANZA SMART;LINET;HEMODIÁLISE;1.0;2012-01-01;Em uso;12000.0;0.0;0.3666666666666667
HCPE-0743,407.672;CAMA ELETRICA;ELEGANZA SMART;LINET;5º NORTE;1.0;2012-01-01;Em uso;12000.0;0.0;0.3666666666666667
HCPE-0742,760.781;CAMA ELETRICA;ELEGANZA SMART;LINET;5º NORTE;1.0;2012-01-01;Em uso;12000.0;0.0;0.3666666666666667
HCPE-0740,407.663;CAMA ELETRICA;ELEGANZA SMART;LINET;5º NORTE;1.0;2012-01-01;Em uso;12000.0;0.0;0.3666666666666667
HCPE-0739,407.675;CAMA ELETRICA;ELEGANZA SMART;LINET;5º NORTE;1.0;2012-01-01;Em uso;12000.0;0.0;0.3666666666666667
HCPE-0738,407.693;CAMA ELETRICA;ELEGANZA SMART;LINET;5º NORTE;1.0;2012-01-01;Em uso;12000.0;0.0;0.3666666666666667
HCPE-0737,407.037;CAMA ELETRICA;ELEGANZA SMART;LINET;5º NORTE;1.0;2012-01-01;Em uso;12000.0;0.0;0.3666666666666667
HCPE-0736,407.650;CAMA ELETRICA;ELEGANZA SMART;LINET;5º NORTE;1.0;2012-01-01;Em uso;12000.0;0.0;0.3666666666666667
HCPE-0735,757.951;CAMA ELETRICA;ELEGANZA SMART;LINET;5º NORTE;1.0;2012-01-01;Em uso;12000.0;0.0;0.3666666666666667
HCPE-1627,408.287;CAMA ELETRICA;ELEGANZA SMART;LINET;UTI ADULTO;1.0;2012-01-01;Em uso;12000.0;0.0;0.3666666666666667
HCPE-0692,410.703;CAMA ELETRICA;ELEGANZA SMART;LINET;UTI ADULTO;1.0;2012-01-01;Em uso;12000.0;0.0;0.3666666666666667
HCPE-0130,758.523;CAMA ELETRICA;ELEGANZA SMART;LINET;10º NORTE;1.0;2012-01-01;Em uso;12000.0;0.0;0.3666666666666667
HCPE-0754,757.254;CAMA ELETRICA;ELEGANZA SMART;LINET;;1.0;2012-01-01;Em uso;12000.0;0.0;0.3666666666666667
HCPE-0746,760.780;CAMA ELETRICA;ELEGANZA SMART;LINET;5º NORTE;1.0;2012-01-01;Em uso;12000.0;0.0;0.3666666666666667
HCPE-0816,757.720;CAMA ELETRICA;ELEGANZA SMART;LINET;9º NORTE;1.0;2012-01-01;Em uso;12000.0;0.0;0.3666666666666667
HCPE-0815,757.732;CAMA ELETRICA;ELEGANZA SMART;LINET;9º NORTE;1.0;2012-01-01;Em uso;12000.0;0.0;0.3666666666666667
HCPE-0814,757.731;CAMA ELETRICA;ELEGANZA SMART;LINET;9º NORTE;1.0;2012-01-01;Em uso;12000.0;0.0;0.3666666666666667
HCPE-0813,757.750;CAMA ELETRICA;ELEGANZA SMART;LINET;9º NORTE;1.0;2012-01-01;Em uso;12000.0;0.0;0.3666666666666667
HCPE-0812;CAMA ELETRICA;ELEGANZA SMART;LINET;9º NORTE;1.0;2012-01-01;Em uso;12000.0;0.0;0.3666666666666667
HCPE-0811;CAMA ELETRICA;ELEGANZA SMART;LINET;9º NORTE;1.0;2012-01-01;Em uso;12000.0;0.0;0.3666666666666667
HCPE-1251,407.429;CAMA ELETRICA;ELEGANZA SMART;LINET;CENTRO OBSTÉTRICO;1.0;2012-01-01;Em uso;12000.0;0.0;0.3666666666666667
HCPE-2234,415.005;CAMA ELETRICA;ELEGANZA SMART;LINET;TRIAGEM OBSTÉTRICA;1.0;2012-01-01;Em uso;12000.0;0.0;0.3666666666666667
HCPE-0850,757.531;CAMA ELETRICA;ELEGANZA SMART;LINET;9º NORTE;1.0;2012-01-01;Em uso;12000.0;0.0;0.3666666666666667
HCPE-0849,757.705;CAMA ELETRICA;ELEGANZA SMART;LINET;9º NORTE;1.0;2012-01-01;Em uso;12000.0;0.0;0.3666666666666667
HCPE-0848,757.532;CAMA ELETRICA;ELEGANZA SMART;LINET;9º NORTE;1.0;2012-01-01;Em uso;12000.0;0.0;0.3666666666666667
HCPE-0725,407.673;CAMA ELETRICA;ELEGANZA SMART;LINET;HEMODIÁLISE;1.0;2012-01-01;Em uso;12000.0;0.0;0.3666666666666667
HCPE-0841,757.527;CAMA ELETRICA;ELEGANZA SMART;LINET;9º NORTE;1.0;2012-01-01;Em uso;12000.0;0.0;0.3666666666666667
HCPE-0837,757.523;CAMA ELETRICA;ELEGANZA SMART;LINET;9º NORTE;1.0;2012-01-01;Em uso;12000.0;0.0;0.3666666666666667
HCPE-0836,757.521;CAMA ELETRICA;ELEGANZA SMART;LINET;9º NORTE;1.0;2012-01-01;Em uso;12000.0;0.0;0.3666666666666667
HCPE-0832,757.506;CAMA ELETRICA;ELEGANZA SMART;LINET;9º NORTE;1.0;2012-01-01;Em uso;12000.0;0.0;0.3666666666666667
HCPE-2205,415.006;CAMA ELETRICA;ELEGANZA SMART;LINET;CENTRO OBSTÉTRICO;1.0;2012-01-01;Em uso;12000.0;0.0;0.3666666666666667
HCPE-1270,407.410;CAMA ELETRICA;ELEGANZA SMART;LINET;CENTRO OBSTÉTRICO;1.0;2012-01-01;Em uso;12000.0;0.0;0.3666666666666667
HCPE-1269,764.540;CAMA ELETRICA;ELEGANZA SMART;LINET;CENTRO OBSTÉTRICO;1.0;2012-01-01;Em uso;12000.0;0.0;0.3666666666666667
HCPE-0781,756.932;CAMA ELETRICA;ELEGANZA SMART;LINET;8° NORTE;1.0;2012-01-01;Em uso;12000.0;0.0;0.3666666666666667
HCPE-0722,758.264;CAMA ELETRICA;ELEGANZA SMART;LINET;8° NORTE;1.0;2012-01-01;Em uso;12000.0;0.0;0.3666666666666667
HCPE-0726,407.651;CAMA ELETRICA;ELEGANZA SMART;LINET;HEMODIÁLISE;1.0;2012-01-01;Em uso;12000.0;0.0;0.3666666666666667
HCPE-0402,407.649;CAMA ELETRICA;ELEGANZA SMART;LINET;;1.0;2012-01-01;Em uso;12000.0;0.0;0.3666666666666667
HCPE-0843,757.526;CAMA ELETRICA;ELEGANZA SMART;LINET;9º NORTE;1.0;2012-01-01;Em uso;12000.0;0.0;0.3666666666666667
HCPE-0311,756.881;CAMA ELETRICA;ELEGANZA SMART;LINET;9º SUL;1.0;2012-01-01;Em uso;12000.0;0.0;0.3666666666666667
HCPE-0249,758.997;CAMA ELETRICA;ELEGANZA SMART;LINET;9º SUL;1.0;2012-01-01;Em uso;12000.0;0.0;0.3666666666666667
HCPE-0229,757.035;CAMA ELETRICA;ELEGANZA SMART;LINET;9º SUL;1.0;2012-01-01;Em uso;12000.0;0.0;0.3666666666666667
HCPE-0312,757.586;CAMA ELETRICA;ELEGANZA SMART;LINET;5º NORTE;1.0;2012-01-01;Em uso;12000.0;0.0;0.3666666666666667
HCPE-0236,756.754;CAMA ELETRICA;ELEGANZA SMART;LINET;5º NORTE;1.0;2012-01-01;Em uso;12000.0;0.0;0.3666666666666667
HCPE-0172,758.187;CAMA ELETRICA;ELEGANZA SMART;LINET;5º NORTE;1.0;2012-01-01;Em uso;12000.0;0.0;0.3666666666666667
HCPE-0137,407.674;CAMA ELETRICA;ELEGANZA SMART;LINET;5º NORTE;1.0;2012-01-01;Em uso;12000.0;0.0;0.3666666666666667
HCPE-2125,758.216;CAMA ELETRICA;ELEGANZA SMART;LINET;9º SUL;1.0;2012-01-01;Em uso;12000.0;0.0;0.3666666666666667
HCPE-1932,410.972;CAMA ELETRICA;ELEGANZA SMART;LINET;9º SUL;1.0;2012-01-01;Em uso;12000.0;0.0;0.3666666666666667
HCPE-0773,757.265;CAMA ELETRICA;ELEGANZA SMART;LINET;9º SUL;1.0;2012-01-01;Em uso;12000.0;0.0;0.3666666666666667
HCPE-2255,758.380;CAMA ELETRICA;ELEGANZA SMART;LINET;11º NORTE;1.0;2012-01-01;Em uso;12000.0;0.0;0.3666666666666667
HCPE-2224,756.656;CAMA ELETRICA;ELEGANZA SMART;LINET;8° NORTE;1.0;2012-01-01;Em uso;12000.0;0.0;0.3666666666666667
HCPE-1749,408.291;CAMA ELETRICA;ELEGANZA SMART;LINET;11º NORTE;1.0;2012-01-01;Em uso;12000.0;0.0;0.3666666666666667
HCPE-1267,407.414;CAMA ELETRICA;ELEGANZA SMART;LINET;11º NORTE;1.0;2012-01-01;Em uso;12000.0;0.0;0.3666666666666667
HCPE-0872,410.165;CAMA ELETRICA;ELEGANZA SMART;LINET;11º NORTE;1.0;2012-01-01;Em uso;12000.0;0.0;0.3666666666666667
HCPE-0786,756.633;CAMA ELETRICA;ELEGANZA SMART;LINET;11º NORTE;1.0;2012-01-01;Em uso;12000.0;0.0;0.3666666666666667
HCPE-0780,757.092;CAMA ELETRICA;ELEGANZA SMART;LINET;11º NORTE;1.0;2012-01-01;Em uso;12000.0;0.0;0.3666666666666667
HCPE-0778,757.260;CAMA ELETRICA;ELEGANZA SMART;LINET;11º NORTE;1.0;2012-01-01;Em uso;12000.0;0.0;0.3666666666666667
HCPE-0741,407.601;CAMA ELETRICA;ELEGANZA SMART;LINET;11º NORTE;1.0;2012-01-01;Em uso;12000.0;0.0;0.3666666666666667
HCPE-0502,757.913;CAMA ELETRICA;ELEGANZA SMART;LINET;9º SUL;1.0;2012-01-01;Em uso;12000.0;0.0;0.3666666666666667
HCPE-0499,757.919;CAMA ELETRICA;ELEGANZA SMART;LINET;9º SUL;1.0;2012-01-01;Em uso;12000.0;0.0;0.3666666666666667
HCPE-0412,756.678;CAMA ELETRICA;ELEGANZA SMART;LINET;9º SUL;1.0;2012-01-01;Em uso;12000.0;0.0;0.3666666666666667
HCPE-0406,756.818;CAMA ELETRICA;ELEGANZA SMART;LINET;9º SUL;1.0;2012-01-01;Em uso;12000.0;0.0;0.3666666666666667
HCPE-2127,757.036;CAMA ELETRICA;ELEGANZA SMART;LINET;11º NORTE;1.0;2012-01-01;Em uso;12000.0;0.0;0.3666666666666667
HCPE-0818,757.629;CAMA ELETRICA;ELEGANZA SMART;LINET;9º NORTE;1.0;2012-01-01;Em uso;12000.0;0.0;0.3666666666666667
HCPE-1625,759.251;CAMA ELETRICA;ELEGANZA SMART;LINET;8° NORTE;1.0;2012-01-01;Em uso;12000.0;0.0;0.3666666666666667
HCPE-0755,757.283;CAMA ELETRICA;ELEGANZA SMART;LINET;9º SUL;1.0;2012-01-01;Em uso;12000.0;0.0;0.3666666666666667
HCPE-0519,758.004;CAMA ELETRICA;ELEGANZA SMART;LINET;9º SUL;1.0;2012-01-01;Em uso;12000.0;0.0;0.3666666666666667
HCPE-0518,758.006;CAMA ELETRICA;ELEGANZA SMART;LINET;9º SUL;1.0;2012-01-01;Em uso;12000.0;0.0;0.3666666666666667
HCPE-0512,757.574;CAMA ELETRICA;ELEGANZA SMART;LINET;9º SUL;1.0;2012-01-01;Em uso;12000.0;0.0;0.3666666666666667
HCPE-0511,757.572;CAMA ELETRICA;ELEGANZA SMART;LINET;9º SUL;1.0;2012-01-01;Em uso;12000.0;0.0;0.3666666666666667
HCPE-0509,757.590;CAMA ELETRICA;ELEGANZA SMART;LINET;9º SUL;1.0;2012-01-01;Em uso;12000.0;0.0;0.3666666666666667
HCPE-0507,757.575;CAMA ELETRICA;ELEGANZA SMART;LINET;9º SUL;1.0;2012-01-01;Em uso;12000.0;0.0;0.3666666666666667
HCPE-0506,757.583;CAMA ELETRICA;ELEGANZA SMART;LINET;9º SUL;1.0;2012-01-01;Em uso;12000.0;0.0;0.3666666666666667
HCPE-0503,757.912;CAMA ELETRICA;ELEGANZA SMART;LINET;9º SUL;1.0;2012-01-01;Em uso;12000.0;0.0;0.3666666666666667
HCPE-0317,757.591;CAMA ELETRICA;ELEGANZA SMART;LINET;9º SUL;1.0;2012-01-01;Em uso;12000.0;0.0;0.3666666666666667
HCPE-0698,410.713;CAMA ELETRICA;ELEGANZA SMART;LINET;HEMODIÁLISE;1.0;2012-01-01;Em uso;12000.0;0.0;0.3666666666666667
HCPE-0523,410.799;CAMA ELETRICA;ELEGANZA SMART;LINET;HEMODIÁLISE;1.0;2012-01-01;Em uso;12000.0;0.0;0.3666666666666667
HCPE-0767,757.224;CAMA ELETRICA;ELEGANZA SMART;LINET;5º NORTE;1.0;2012-01-01;Em uso;12000.0;0.0;0.3666666666666667
HCPE-0749,758.295;CAMA ELETRICA;ELEGANZA SMART;LINET;5º NORTE;1.0;2012-01-01;Em uso;12000.0;0.0;0.3666666666666667
HCPE-0748,407.603;CAMA ELETRICA;ELEGANZA SMART;LINET;5º NORTE;1.0;2012-01-01;Em uso;12000.0;0.0;0.3666666666666667
HCPE-0747,407.662;CAMA ELETRICA;ELEGANZA SMART;LINET;5º NORTE;1.0;2012-01-01;Em uso;12000.0;0.0;0.3666666666666667
HCPE-0330,757.007;CAMA ELETRICA;ELEGANZA SMART;LINET;9º SUL;1.0;2012-01-01;Em uso;12000.0;0.0;0.3666666666666667
HCPE-0328,756.893;CAMA ELETRICA;ELEGANZA SMART;LINET;9º SUL;1.0;2012-01-01;Em uso;12000.0;0.0;0.3666666666666667
HCPE-0322,757.907;CAMA ELETRICA;ELEGANZA SMART;LINET;9º SUL;1.0;2012-01-01;Em uso;12000.0;0.0;0.3666666666666667
HCPE-0321,757.600;CAMA ELETRICA;ELEGANZA SMART;LINET;9º SUL;1.0;2012-01-01;Em uso;12000.0;0.0;0.3666666666666667
HCPE-0318,757.599;CAMA ELETRICA;ELEGANZA SMART;LINET;9º SUL;1.0;2012-01-01;Em uso;12000.0;0.0;0.3666666666666667
HCPE-0716,407.602;CAMA ELETRICA;ELEGANZA SMART;LINET;HEMODIÁLISE;1.0;2012-01-01;Em uso;12000.0;0.0;0.3666666666666667
HCPE-2179,405.307;BALANCA PACIENTE INFANTIL ELETRONICA;BP BABY;FILIZOLA;AMBULATÓRIO DE PUERICULTURA;1.0;2002-01-01;Em uso;960.0;0.0;0.3666666666666667
HCPE-2178,405.288;BALANCA PACIENTE INFANTIL ELETRONICA;BP BABY;FILIZOLA;AMBULATÓRIO DE PUERICULTURA;1.0;2002-01-01;Em uso;960.0;0.0;0.3666666666666667
HCPE-0889,410.993;BALANCA PACIENTE INFANTIL ELETRONICA;BP BABY;FILIZOLA;6º SUL;1.0;2002-01-01;Em uso;960.0;0.0;0.3666666666666667
HCPE-0723,758.655;CAMA ELETRICA;ELEGANZA SMART;LINET;ESTABILIZAÇÃO;1.0;2012-01-01;Em uso;12000.0;0.0;0.3666666666666667
HCPE-1188,413.638;BALANCA PACIENTE INFANTIL ELETRONICA;BP BABY;FILIZOLA;AMBULATÓRIO DE PEDIATRIA;1.0;2002-01-01;Em uso;960.0;0.0;0.3666666666666667
HCPE-0058,;BISTURI ELETRONICO MONOPOLAR-BIPOLAR;SS-501-S;WEM;UNIDADE DE BLOCOS CIRÚRGICOS;1.0;2008-02-01;Em uso;20000.0;0.0;0.3666666666666667
HCPE-1565,410.307;BISTURI ELETRONICO MONOPOLAR-BIPOLAR;FORCE FX;COVIDIEN;UNIDADE DE BLOCOS CIRÚRGICOS;1.0;2012-02-01;Em uso;23000.0;0.0;0.3666666666666667
HCPE-1546,760.767;BISTURI ELETRONICO MONOPOLAR-BIPOLAR;FORCE FX;COVIDIEN;UNIDADE DE BLOCOS CIRÚRGICOS;1.0;2012-02-01;Em uso;23000.0;0.0;0.3666666666666667
HCPE-1413,407.887;BISTURI ELETRONICO MONOPOLAR-BIPOLAR;FORCE FX;COVIDIEN;UNIDADE DE BLOCOS CIRÚRGICOS;1.0;2012-02-01;Em uso;23000.0;0.0;0.3666666666666667
HCPE-1452,;BISTURI ELETRONICO MONOPOLAR-BIPOLAR;FORCE FX;COVIDIEN;HEMODINÂMICA;1.0;2012-02-01;Em uso;23000.0;0.0;0.3666666666666667
HCPE-1493,413.426;BISTURI ELETRONICO MONOPOLAR-BIPOLAR;FORCE FX;COVIDIEN;ENDOSCOPIA;1.0;2012-02-01;Em uso;23000.0;0.0;0.3666666666666667
HCPE-0820,757.628;CAMA ELETRICA;ELEGANZA SMART;LINET;9º NORTE;1.0;2012-01-01;Em uso;12000.0;0.0;0.3666666666666667
HCPE-1872,413.699;BISTURI ELETRONICO MONOPOLAR-BIPOLAR;FORCE FX;COVIDIEN;UNIDADE DE BLOCOS CIRÚRGICOS;1.0;2012-02-01;Em uso;23000.0;0.0;0.3666666666666667
HCPE-1848,410.333;BISTURI ELETRONICO MONOPOLAR-BIPOLAR;FORCE FX;COVIDIEN;UNIDADE DE BLOCOS CIRÚRGICOS;1.0;2012-02-01;Em uso;23000.0;0.0;0.3666666666666667
HCPE-1390,410.892;BISTURI ELETRONICO MONOPOLAR-BIPOLAR;FORCE FX;COVIDIEN;UNIDADE DE BLOCOS CIRÚRGICOS;1.0;2012-02-01;Em uso;23000.0;0.0;0.3666666666666667
HCPE-1357,413.752;BISTURI ELETRONICO MONOPOLAR-BIPOLAR;SS-501-S;WEM;UNIDADE DE BLOCOS CIRÚRGICOS;1.0;2008-02-01;Em uso;20000.0;0.0;0.3666666666666667
HCPE-3819;CABO ENERGIA PECA MAO-CONSOLE;CORE-2-CONSOLE;STRYKER;UNIDADE DE BLOCOS CIRÚRGICOS E MATERIAL ESTERILIZADO;1.0;1899-12-30;Em uso;321967.23;0.0;0.3666666666666667
HCPE-0810,757.553;CAMA ELETRICA;ELEGANZA SMART;LINET;9º NORTE;1.0;2012-01-01;Em uso;12000.0;0.0;0.3666666666666667
HCPE-0809,757.550;CAMA ELETRICA;ELEGANZA SMART;LINET;9º NORTE;1.0;2012-01-01;Em uso;12000.0;0.0;0.3666666666666667
HCPE-0808,757.552;CAMA ELETRICA;ELEGANZA SMART;LINET;9º NORTE;1.0;2012-01-01;Em uso;12000.0;0.0;0.3666666666666667
HCPE-0902,410.933;CAMA ELETRICA;ELEGANZA SMART;LINET;6° SUL;1.0;2012-01-01;Em uso;12000.0;0.0;0.3666666666666667
HCPE-0901,764.616;CAMA ELETRICA;ELEGANZA SMART;LINET;6° SUL;1.0;2012-01-01;Em uso;12000.0;0.0;0.3666666666666667
HCPE-0899,410.973;CAMA ELETRICA;ELEGANZA SMART;LINET;6° SUL;1.0;2012-01-01;Em uso;12000.0;0.0;0.3666666666666667
HCPE-1996,;BISTURI ELETRONICO MONOPOLAR-BIPOLAR;FORCE FX;COVIDIEN;UNIDADE DE BLOCOS CIRÚRGICOS;1.0;2012-02-01;Em uso;23000.0;0.0;0.3666666666666667
HCPE-1445,414.639;CAMA ELETRICA;ELEGANZA SMART;LINET;10° SUL;1.0;2012-01-01;Em uso;12000.0;0.0;0.3666666666666667
HCPE-0913,756.948;CAMA ELETRICA;ELEGANZA SMART;LINET;10° SUL;1.0;2012-01-01;Em uso;12000.0;0.0;0.3666666666666667
HCPE-0768,757.264;CAMA ELETRICA;ELEGANZA SMART;LINET;10° SUL;1.0;2012-01-01;Em uso;12000.0;0.0;0.3666666666666667
HCPE-0763,757.087;CAMA ELETRICA;ELEGANZA SMART;LINET;10° SUL;1.0;2012-01-01;Em uso;12000.0;0.0;0.3666666666666667
HCPE-0314,412.786;BALANCA PACIENTE PLATAFORMA MECANICA;31;FILIZOLA;9º SUL;1.0;1998-01-01;Em uso;1500.0;0.0;0.3666666666666667
